main_ID,aligned_name,taxon_name,scientific_name,division,class,order,family,status,IPNI_ID,IPNI_url,taxon_rank
1248,Acacia auriculiformis,Acacia auriculiformis,Acacia auriculiformis A.Cunn. ex Benth.,Spermatophyta,Magnoliopsida,Fabales,Fabaceae,Naturalised,urn:lsid:ipni.org:names:469784-1,https://www.ipni.org/n/469784-1,species
4240,Acacia mangium,Acacia mangium,Acacia mangium Willd.,Spermatophyta,Magnoliopsida,Fabales,Fabaceae,Naturalised,urn:lsid:ipni.org:names:470839-1,https://www.ipni.org/n/470839-1,species
3121,Acalypha siamensis,Acalypha siamensis,Acalypha siamensis Oliv. ex Gage,Spermatophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Naturalised,urn:lsid:ipni.org:names:337811-1,https://www.ipni.org/n/337811-1,species
829,Actephila excelsa,Actephila excelsa,Actephila excelsa (Dalzell) Müll.Arg.,Spermatophyta,Magnoliopsida,Malpighiales,Phyllanthaceae,Critically Endangered,urn:lsid:ipni.org:names:338003-1,https://www.ipni.org/n/338003-1,species
1193,Actinodaphne glomerata (Blume) Nees,Actinodaphne glomerata,Actinodaphne glomerata (Blume) Nees,Spermatophyta,Magnoliopsida,Laurales,Lauraceae,Critically Endangered,urn:lsid:ipni.org:names:462253-1,https://www.ipni.org/n/462253-1,species
1194,Actinodaphne macrophylla,Actinodaphne maingayi,Actinodaphne maingayi Hook.f.,Spermatophyta,Magnoliopsida,Laurales,Lauraceae,Critically Endangered,urn:lsid:ipni.org:names:462284-1,https://www.ipni.org/n/462284-1,species
1194,Actinodaphne macrophylla (Blume) Nees,Actinodaphne maingayi,Actinodaphne maingayi Hook.f.,Spermatophyta,Magnoliopsida,Laurales,Lauraceae,Critically Endangered,urn:lsid:ipni.org:names:462284-1,https://www.ipni.org/n/462284-1,species
1195,Actinodaphne malaccensis,Actinodaphne malaccensis,Actinodaphne malaccensis Hook.f.,Spermatophyta,Magnoliopsida,Laurales,Lauraceae,Endangered,urn:lsid:ipni.org:names:462286-1,https://www.ipni.org/n/462286-1,species
1195,Actinodaphne malaccensis Hook. f.,Actinodaphne malaccensis,Actinodaphne malaccensis Hook.f.,Spermatophyta,Magnoliopsida,Laurales,Lauraceae,Endangered,urn:lsid:ipni.org:names:462286-1,https://www.ipni.org/n/462286-1,species
1196,Actinodaphne pruinosa Nees,Actinodaphne pruinosa,Actinodaphne pruinosa Nees,Spermatophyta,Magnoliopsida,Laurales,Lauraceae,Endangered,urn:lsid:ipni.org:names:462315-1,https://www.ipni.org/n/462315-1,species
1252,Adenanthera pavonina,Adenanthera pavonina,Adenanthera pavonina L.,Spermatophyta,Magnoliopsida,Fabales,Fabaceae,Naturalised,urn:lsid:ipni.org:names:317691-2,https://www.ipni.org/n/317691-2,species
2002,Adenia macrophylla,Adenia macrophylla,Adenia macrophylla (Blume) Koord.,Spermatophyta,Magnoliopsida,Malpighiales,Passifloraceae,n/a,urn:lsid:ipni.org:names:674122-1,https://www.ipni.org/n/674122-1,species
2004,Adenia macrophylla,Passiflora laurifolia,Passiflora laurifolia L.,Spermatophyta,Magnoliopsida,Malpighiales,Passifloraceae,Naturalised,urn:lsid:ipni.org:names:675132-1,https://www.ipni.org/n/675132-1,species
2369,Adinandra acuminata Korth.,Adinandra acuminata,Adinandra acuminata Korth.,Spermatophyta,Magnoliopsida,Ericales,Pentaphylacaceae,Extinct,urn:lsid:ipni.org:names:828413-1,https://www.ipni.org/n/828413-1,species
2370,Adinandra dumosa,Adinandra dumosa,Adinandra dumosa Jack,Spermatophyta,Magnoliopsida,Ericales,Pentaphylacaceae,Least Concern,urn:lsid:ipni.org:names:828424-1,https://www.ipni.org/n/828424-1,species
2370,Adinandra dumosa Jack,Adinandra dumosa,Adinandra dumosa Jack,Spermatophyta,Magnoliopsida,Ericales,Pentaphylacaceae,Least Concern,urn:lsid:ipni.org:names:828424-1,https://www.ipni.org/n/828424-1,species
2371,Adinandra integerrima T. Anders. ex Dyer,Adinandra integerrima,Adinandra integerrima T.Anderson ex Dyer,Spermatophyta,Magnoliopsida,Ericales,Pentaphylacaceae,Critically Endangered,urn:lsid:ipni.org:names:828429-1,https://www.ipni.org/n/828429-1,species
NA,Agalonema dud unyamanee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
591,Agelaea borneensis (Hook. f.) Merr.,Agelaea borneensis,Agelaea borneensis (Hook.f.) Merr.,Spermatophyta,Magnoliopsida,Oxalidales,Connaraceae,Least Concern,urn:lsid:ipni.org:names:264047-1,https://www.ipni.org/n/264047-1,species
592,Agelaea macrophylla,Agelaea macrophylla,Agelaea macrophylla (Zoll.) Leenh.,Spermatophyta,Magnoliopsida,Oxalidales,Connaraceae,Vulnerable,urn:lsid:ipni.org:names:264086-1,https://www.ipni.org/n/264086-1,species
