Dataset1,Dataset2,IID,SID,OrgName,AccName,Trait,OrgVal,n
SG07,Tech,B.Vista MRTTTerminalia catappa 5,NA,Terminalia catappa,NA,Thickness,0.24383333333333335,6
SG07,Tech,B.Vista MRTTTerminalia catappa 5,NA,Terminalia catappa,NA,leaf_work_to_punch_adjusted_concave,2.3743617102890724,2
SG07,Tech,B.Vista MRTTTerminalia catappa 5,NA,Terminalia catappa,NA,leaf_work_to_punch_adjusted_flat,2.540975197652092,2
SG07,Tech,B.Vista MRTTTerminalia catappa 5,NA,Terminalia catappa,NA,leaf_work_to_punch_concave,0.5791106924153038,2
SG07,Tech,B.Vista MRTTTerminalia catappa 5,NA,Terminalia catappa,NA,leaf_work_to_punch_flat,0.6189814668187372,2
SG07,Tech,B.Vista MRTTTerminalia catappa 5,NA,Terminalia catappa,NA,leaf_work_to_shear,3540.118838028169,2
SG07,Tech,B.Vista MRTTTerminalia catappa 6,NA,Terminalia catappa,NA,Thickness,0.24566666666666667,6
SG07,Tech,B.Vista MRTTTerminalia catappa 6,NA,Terminalia catappa,NA,leaf_work_to_punch_adjusted_concave,2.4647660016389348,2
SG07,Tech,B.Vista MRTTTerminalia catappa 6,NA,Terminalia catappa,NA,leaf_work_to_punch_adjusted_flat,2.8786959782641075,2
SG07,Tech,B.Vista MRTTTerminalia catappa 6,NA,Terminalia catappa,NA,leaf_work_to_punch_concave,0.6117620673382802,2
SG07,Tech,B.Vista MRTTTerminalia catappa 6,NA,Terminalia catappa,NA,leaf_work_to_punch_flat,0.7285850771129497,2
SG07,Tech,B.Vista MRTTTerminalia catappa 6,NA,Terminalia catappa,NA,leaf_work_to_shear,4852.998679957877,2
SG07,Tech,KRTAcacia auriculiformis 1,NA,Acacia auriculiformis,NA,Thickness,0.31133333333333335,6
SG07,Tech,KRTAcacia auriculiformis 1,NA,Acacia auriculiformis,NA,leaf_work_to_punch_adjusted_concave,2.9660940148678527,2
SG07,Tech,KRTAcacia auriculiformis 1,NA,Acacia auriculiformis,NA,leaf_work_to_punch_adjusted_flat,3.0008514694352817,2
SG07,Tech,KRTAcacia auriculiformis 1,NA,Acacia auriculiformis,NA,leaf_work_to_punch_concave,0.9430340571347098,2
SG07,Tech,KRTAcacia auriculiformis 1,NA,Acacia auriculiformis,NA,leaf_work_to_punch_flat,0.9143205364738007,2
SG07,Tech,KRTAcacia auriculiformis 1,NA,Acacia auriculiformis,NA,leaf_work_to_shear,2713.022206512022,2
SG07,Tech,KRTAcacia auriculiformis 10,NA,Acacia auriculiformis,NA,Thickness,0.29533333333333334,6
SG07,Tech,KRTAcacia auriculiformis 10,NA,Acacia auriculiformis,NA,leaf_work_to_punch_adjusted_concave,3.5871853712244226,2
SG07,Tech,KRTAcacia auriculiformis 10,NA,Acacia auriculiformis,NA,leaf_work_to_punch_adjusted_flat,4.395041014246679,2
SG07,Tech,KRTAcacia auriculiformis 10,NA,Acacia auriculiformis,NA,leaf_work_to_punch_concave,0.99340577623699,2
SG07,Tech,KRTAcacia auriculiformis 10,NA,Acacia auriculiformis,NA,leaf_work_to_punch_flat,1.1973538115599034,2
