Species,Family,Habit,Plant ID,Windspeed,Run Time,Leaf Area_1side,Frictional Force (T),Frictional Force (B),T91(g),T42(g),PTFE(g),T91(ug),T42(ug),PTFE(ug),SLA,PM2.5(ug),PM10(ug),PM32(ug),DV_PM32,DV_PM10,DV_PM2.5,CP_PM32,CP_PM10,CP_PM2.5,Hairiness(T),Hairiness(B),Avg_Leaf_Size,Leaf_Area_2side
Adinandra dumosa,Pentaphylacaceae,Tree,Adindu 1,2.2,900,522.736,1.573,1.49314,0.00165,0.00078,0.00028,1650,780,280,132.4790917,64.94072848,8.486887417,8.507284768,0.000206129,9.77E-05,4.58E-06,9.37E-05,4.44E-05,2.08E-06,0,0,47.52145565,1045.472
Adinandra dumosa,Pentaphylacaceae,Tree,Adindu 2,2.2,900,419.3911,1.54396,1.43506,0.00207,0.00078,0.00012,2070,780,120,118.9458294,55.75218543,11.16582781,3.179470199,0.00086243,9.25E-05,2.85E-06,0.000392014,4.21E-05,1.30E-06,0,0,46.59900646,838.7822
Adinandra dumosa,Pentaphylacaceae,Tree,Adindu 3,2.2,900,576.1639,1.55001,1.3915,0.00169,0.00085,0.00017,1690,850,170,106.6989944,57.62178808,8.557682119,6.633774834,0.000245645,9.58E-05,2.84E-06,0.000111657,4.35E-05,1.29E-06,0,0,44.32029707,1152.3278
Bauhinia semibifida,Fabaceae,Climber,Bauhse 1,2.2,900,570.6275,1.4157,1.37819,0.00516,0.00124,0.0009,5160,1240,900,199.1093548,78.76238411,5.988609272,0.933046358,0.005384201,0.000201591,1.11E-05,0.002447364,9.16E-05,5.06E-06,269366.5287,179382.6189,38.04183048,1141.255
Bauhinia semibifida,Fabaceae,Climber,Bauhse 2,2.2,900,604.1418,1.37698,1.40965,0.00491,0.00096,0.00051,4910,960,510,204.7383083,75.80668874,3.775231788,1.768211921,0.0025535,0.000233839,6.19E-06,0.001160682,0.00010629,2.81E-06,269366.5287,179382.6189,50.34514988,1208.2836
Bauhinia semibifida,Fabaceae,Climber,Bauhse 3,2.2,900,560.0217,1.40602,1.42054,0.0036,0.00103,0.00074,3600,1030,740,203.9111928,73.65741722,3.835761589,0.714437086,0.004998747,0.000266384,9.97E-06,0.002272158,0.000121084,4.53E-06,269366.5287,179382.6189,40.00155313,1120.0434
Bridelia stipularis,Phyllanthaceae,Shrub,Bridst 1,2.2,900,552.6544,1.42659,1.47378,0.00336,0.0011,0.00046,3360,1100,460,204.4520735,76.84324503,14.16728477,3.337019868,0.001012172,7.81E-05,6.02E-06,0.000460078,3.55E-05,2.74E-06,28018.27697,99214.31153,50.24130682,1105.3088
Bridelia stipularis,Phyllanthaceae,Shrub,Bridst 2,2.2,900,549.9524,1.43627,1.47378,0.00267,0.00112,0.00067,2670,1120,670,184.7089407,62.83152318,10.21291391,10.74112583,0.00025111,0.000110782,1.08E-05,0.000114141,5.04E-05,4.90E-06,28018.27697,99214.31153,45.82936444,1099.9048
Bridelia stipularis,Phyllanthaceae,Shrub,Bridst 3,2.2,900,495.1782,1.37577,1.44111,0.0026,0.0008,0.00024,2600,800,240,187.0432122,60.82245033,8.920993377,1.607019868,0.001815173,0.00010061,4.43E-06,0.000825079,4.57E-05,2.01E-06,28018.27697,99214.31153,45.01620163,990.3564
Bridelia tomentosa,Phyllanthaceae,Tree/Shrub,Bridto 1,2.2,900,419.7478,1.27171,1.30075,0.00395,0.00098,0.0006,3950,980,600,202.0154972,66.73781457,11.77384106,3.851523179,0.001357387,0.000110166,1.19E-05,0.000616994,5.01E-05,5.41E-06,10183.34503,73671.66025,23.31932398,839.4956
