Species,Family,Habit,Plant ID,Windspeed,Run Time,Leaf Area_1side,Frictional Force (T),Frictional Force (B),T91(g),T42(g),PTFE(g),T91(ug),T42(ug),PTFE(ug),SLA,PM2.5(ug),PM10(ug),PM32(ug),DV_PM32,DV_PM10,DV_PM2.5,CP_PM32,CP_PM10,CP_PM2.5,Hairiness(T),Hairiness(B),Avg_Leaf_Size,Leaf_Area_2side
Adinandra dumosa,Pentaphylacaceae,Tree,Adindu 1,2.2,900,522.736,1.573,1.49314,0.00165,7.8e-4,2.8e-4,1650,780,280,132.4790917,64.94072848,8.486887417,8.507284768,2.06129e-4,9.77e-5,4.58e-6,9.37e-5,4.44e-5,2.08e-6,0,0,47.52145565,1045.472
Adinandra dumosa,Pentaphylacaceae,Tree,Adindu 2,2.2,900,419.3911,1.54396,1.43506,0.00207,7.8e-4,1.2e-4,2070,780,120,118.9458294,55.75218543,11.16582781,3.179470199,8.6243e-4,9.25e-5,2.85e-6,3.92014e-4,4.21e-5,1.3e-6,0,0,46.59900646,838.7822
Adinandra dumosa,Pentaphylacaceae,Tree,Adindu 3,2.2,900,576.1639,1.55001,1.3915,0.00169,8.5e-4,1.7e-4,1690,850,170,106.6989944,57.62178808,8.557682119,6.633774834,2.45645e-4,9.58e-5,2.84e-6,1.11657e-4,4.35e-5,1.29e-6,0,0,44.32029707,1152.3278
Bauhinia semibifida,Fabaceae,Climber,Bauhse 1,2.2,900,570.6275,1.4157,1.37819,0.00516,0.00124,9e-4,5160,1240,900,199.1093548,78.76238411,5.988609272,0.933046358,0.005384201,2.01591e-4,1.11e-5,0.002447364,9.16e-5,5.06e-6,269366.5287,179382.6189,38.04183048,1141.255
Bauhinia semibifida,Fabaceae,Climber,Bauhse 2,2.2,900,604.1418,1.37698,1.40965,0.00491,9.6e-4,5.1e-4,4910,960,510,204.7383083,75.80668874,3.775231788,1.768211921,0.0025535,2.33839e-4,6.19e-6,0.001160682,1.0629e-4,2.81e-6,269366.5287,179382.6189,50.34514988,1208.2836
Bauhinia semibifida,Fabaceae,Climber,Bauhse 3,2.2,900,560.0217,1.40602,1.42054,0.0036,0.00103,7.4e-4,3600,1030,740,203.9111928,73.65741722,3.835761589,0.714437086,0.0049987470000000004,2.66384e-4,9.97e-6,0.002272158,1.21084e-4,4.53e-6,269366.5287,179382.6189,40.00155313,1120.0434
Bridelia stipularis,Phyllanthaceae,Shrub,Bridst 1,2.2,900,552.6544,1.42659,1.47378,0.00336,0.0011,4.6e-4,3360,1100,460,204.4520735,76.84324503,14.16728477,3.337019868,0.001012172,7.81e-5,6.02e-6,4.60078e-4,3.55e-5,2.74e-6,28018.27697,99214.31153,50.24130682,1105.3088
Bridelia stipularis,Phyllanthaceae,Shrub,Bridst 2,2.2,900,549.9524,1.43627,1.47378,0.00267,0.00112,6.7e-4,2670,1120,670,184.7089407,62.83152318,10.21291391,10.74112583,2.5111e-4,1.10782e-4,1.08e-5,1.14141e-4,5.04e-5,4.9e-6,28018.27697,99214.31153,45.82936444,1099.9048
Bridelia stipularis,Phyllanthaceae,Shrub,Bridst 3,2.2,900,495.1782,1.37577,1.44111,0.0026,8e-4,2.4e-4,2600,800,240,187.0432122,60.82245033,8.920993377,1.607019868,0.001815173,1.0061e-4,4.43e-6,8.25079e-4,4.57e-5,2.01e-6,28018.27697,99214.31153,45.01620163,990.3564
Bridelia tomentosa,Phyllanthaceae,Tree/Shrub,Bridto 1,2.2,900,419.7478,1.27171,1.30075,0.00395,9.8e-4,6e-4,3950,980,600,202.0154972,66.73781457,11.77384106,3.851523179,0.001357387,1.10166e-4,1.19e-5,6.16994e-4,5.01e-5,5.41e-6,10183.34503,73671.66025,23.31932398,839.4956
