Species Name,Collection Date,Collection Locality,Fresh Area /cm2,Dry Weight /g,SLA,Leaflets,Remarks,Date1
Adinandra dumosa,1/14/2011,Lornie Boardwalk,23.3,0.202,115.347,1,NA,2011-01-14
Adinandra dumosa,1/14/2011,Lornie Boardwalk,22.7,0.223,101.794,1,NA,2011-01-14
Agelaea macrophylla,40189,Bukit Batok,298.5,2.138,139.616,3,NA,NA
Agelaea macrophylla,40189,Bukit Batok,268.3,2.296,116.855,3,NA,NA
Aidia densiflora,40725,Lornie Trail,52.4,0.515,101.748,1,NA,NA
Aidia densiflora,40725,Lornie Trail,46,0.414,111.111,1,NA,NA
Albizia pedicellata,11/25/2010,Peirce,271.1,1.403,193.229,893,NA,2010-11-25
Antidesma coriaceum,1/14/2011,Lornie Boardwalk,51.1,0.452,113.053,1,NA,2011-01-14
Antidesma coriaceum,1/14/2011,Lornie Boardwalk,41.3,0.388,106.443,1,NA,2011-01-14
Aporosa frutescens,11/15/2010,Venus Drive,29.4,0.178,165.169,1,NA,2010-11-15
Aporosa frutescens,11/15/2010,Venus Drive,23.1,0.145,159.31,1,NA,2010-11-15
Artabotrys suaveolens,1/14/2011,Lornie Boardwalk,18.8,0.138,136.232,1,NA,2011-01-14
Artabotrys suaveolens,1/14/2011,Lornie Boardwalk,13.4,0.098,136.735,1,NA,2011-01-14
Barringtonia racemosa,40462,Pandan,542,5.862,92.46,1,NA,NA
Barringtonia racemosa,40462,Pandan,436.5,3.94,110.787,1,NA,NA
Barringtonia racemosa,40462,Pandan,361.6,3.666,98.636,1,NA,NA
Barringtonia racemosa,40462,Pandan,160.4,1.505,106.578,1,NA,NA
Bhesa robusta,1/14/2011,Changi,89.6,0.699,128.183,1,NA,2011-01-14
Bhesa robusta,1/14/2011,Changi,49.7,0.395,125.823,1,NA,2011-01-14
Brownlowia tersa,12/31/2010,Mandai Mangroves,31.7,0.346,91.618,1,NA,2010-12-31
Brownlowia tersa,12/31/2010,Mandai Mangroves,19,0.211,90.047,1,NA,2010-12-31
Callerya eriantha,40725,Lornie Trail,48.5,0.447,108.501,5,NA,NA
Callerya eriantha,40725,Lornie Trail,99.6,1.167,85.347,5,NA,NA
Calophyllum inophyllum,40462,Pandan,111.1,1.522,72.996,1,NA,NA
Calophyllum inophyllum,40462,Pandan,90.6,1.011,89.614,1,NA,NA
Calophyllum inophyllum,40462,Pandan,106.4,1.473,72.234,1,NA,NA
Campnosperma squamata,9/20/2010,Nee Soon,54.8,0.815,67.239,1,NA,2010-09-20
Campnosperma squamata,9/20/2010,Nee Soon,59.2,0.82,72.195,1,NA,2010-09-20
Canavalia cathartica,40462,Pandan,150.2,0.808,185.891,3,NA,NA
Canavalia cathartica,40462,Pandan,208.2,1.078,193.135,3,NA,NA
Canthium confertum,40725,Lornie Boardwalk,21.4,0.23,93.043,1,NA,NA
Canthium confertum,40725,Lornie Boardwalk,20.8,0.233,89.27,1,NA,NA
Cayratia trifolia,40462,Pandan,94.8,0.694,136.599,3,NA,NA
Cayratia trifolia,40462,Pandan,67.2,0.453,148.344,3,NA,NA
Champereia manillana,40725,Lornie Boardwalk,44.7,0.437,102.288,1,NA,NA
Champereia manillana,40725,Lornie Boardwalk,27.2,0.246,110.569,1,NA,NA
Champereia manillana,1/14/2011,Lornie Boardwalk,24,0.169,142.012,1,NA,2011-01-14
Champereia manillana,1/14/2011,Lornie Boardwalk,30.5,0.197,154.822,1,NA,2011-01-14
Cissus rostrata,-,Nee Soon,87.9,0.796,110.427,1,NA,NA
Cissus rostrata,-,Nee Soon,72.9,0.611,119.313,1,NA,NA
Cleistanthus sumatranus,1/14/2011,Lornie Boardwalk,16.9,0.123,137.398,1,NA,2011-01-14
Cleistanthus sumatranus,1/14/2011,Lornie Boardwalk,24.7,0.191,129.319,1,NA,2011-01-14
Clerodendrum inerme,-,-,22.8,0.206,110.68,1,NA,NA
Clerodendrum inerme,-,-,33.6,0.324,103.704,1,NA,NA
Clerodendrum villosum,40492,Science Park Forest,285.2,1.114,256.014,1,NA,NA
Clerodendrum villosum,40492,Science Park Forest,256.4,1.084,236.531,1,NA,NA
Colubrina asiatica,-,-,19,0.095,200,1,NA,NA
Colubrina asiatica,-,-,19.7,0.111,177.477,1,NA,NA
Colubrina asiatica,40462,Punggol,9.9,0.065,152.308,1,NA,NA
Colubrina asiatica,40462,Punggol,12.2,0.082,148.78,1,NA,NA
Combretum sundaicum,1/14/2011,Lornie Boardwalk,67,0.403,166.253,1,NA,2011-01-14
Combretum sundaicum,1/14/2011,Lornie Boardwalk,52,0.314,165.605,1,NA,2011-01-14
Commersonia bartramia,40462,Kent Ridge NUS,149.4,1.131,132.095,1,NA,NA
Commersonia bartramia,40462,Kent Ridge NUS,152.6,1.03,148.155,1,NA,NA
Cordia dichotoma,-,-,93.9,0.351,267.521,1,NA,NA
