Dataset1,Dataset2,IID,SID,OrgName,AccName,Trait,OrgVal,n
SG01,SG01_HR,A27T16,NA,Palaquium obovatum,NA,Area_mm2,20342.129045129135,3
SG01,SG01_HR,A27T16,NA,Palaquium obovatum,NA,LDMC,0.3909442705161644,3
SG01,SG01_HR,A27T16,NA,Palaquium obovatum,NA,SLA,12.209226220918433,3
SG01,SG01_HR,A27T16,NA,Palaquium obovatum,NA,Th,0.21066666666666667,3
SG01,SG01_HR,A27T25,NA,Artocarpus elasticus,NA,Area_mm2,74676.87123538624,3
SG01,SG01_HR,A27T25,NA,Artocarpus elasticus,NA,LDMC,0.30981406096538816,3
SG01,SG01_HR,A27T25,NA,Artocarpus elasticus,NA,SLA,8.262847102029266,3
SG01,SG01_HR,A27T25,NA,Artocarpus elasticus,NA,Th,0.44233333333333336,3
SG01,SG01_HR,A27T32,NA,Santiria rubiginosa,NA,Area_mm2,20465.91135477644,3
SG01,SG01_HR,A27T32,NA,Santiria rubiginosa,NA,LDMC,0.38885451154121914,3
SG01,SG01_HR,A27T32,NA,Santiria rubiginosa,NA,SLA,14.822047471522167,3
SG01,SG01_HR,A27T32,NA,Santiria rubiginosa,NA,Th,0.185,3
SG01,SG01_HR,A27T36,NA,Clerodendrum laevifolium,NA,Area_mm2,4621.1735705857145,4
SG01,SG01_HR,A27T36,NA,Clerodendrum laevifolium,NA,LDMC,0.3095340790961065,4
SG01,SG01_HR,A27T36,NA,Clerodendrum laevifolium,NA,SLA,23.988241906354432,4
SG01,SG01_HR,A27T36,NA,Clerodendrum laevifolium,NA,Th,0.1425,4
SG01,SG01_HR,A27T39,NA,Knema curtisii,NA,Area_mm2,3760.922002337072,3
SG01,SG01_HR,A27T39,NA,Knema curtisii,NA,LDMC,0.3747856718444954,3
SG01,SG01_HR,A27T39,NA,Knema curtisii,NA,SLA,17.10602492797106,3
SG01,SG01_HR,A27T39,NA,Knema curtisii,NA,Th,0.142,3
SG01,SG01_HR,A27T44,NA,Canarium pilosum,NA,Area_mm2,81291.0706959311,2
SG01,SG01_HR,A27T44,NA,Canarium pilosum,NA,LDMC,0.4801222318082961,2
SG01,SG01_HR,A27T44,NA,Canarium pilosum,NA,SLA,8.096219390115351,2
SG01,SG01_HR,A27T44,NA,Canarium pilosum,NA,Th,0.28049999999999997,2
SG01,SG01_HR,A27T46,NA,Garcinia parvifolia,NA,Area_mm2,2446.8362146163367,3
