Dataset1,Dataset2,IID,SID,OrgName,AccName,Trait,OrgVal,n
SG02,NA,A27_32,NA,Santiria rubiginosa,NA,WD_twig,0.44789309192800947,1
SG02,NA,A27_36,NA,Clerodendrum laevifolium,NA,WD_twig,0.3547937868237815,1
SG02,NA,A27_39,NA,Knema curtisii,NA,WD_twig,0.5022777212069242,1
SG02,NA,A27_55,NA,Xylopia ferruginea,NA,WD_twig,0.3772835905537328,1
SG02,NA,A27_58,NA,Xylopia ferruginea,NA,WD_twig,0.37766017595042634,1
SG02,NA,A27_Artocarpus elasticus,NA,Artocarpus elasticus,NA,WD_twig,0.6844299748686314,1
SG02,NA,A27_Prunus polystachya,NA,Prunus polystachya,NA,WD_twig,0.2275922671353251,1
SG02,NA,A27_macaranga bancana,NA,Macaranga bancana,NA,WD_twig,0.3188562829194883,1
SG02,NA,A63_16,NA,Syzygium filiforme,NA,WD_twig,0.5230928905033732,1
SG02,NA,A63_Rorea as. vine,NA,Rourea asplenifolia,NA,WD_twig,0.4434452665528362,1
SG02,NA,A63_Silverback-1,NA,Rhodamnia cinerea,NA,WD_twig,0.7287005649717514,1
SG02,NA,A63_Silverback-2,NA,Rhodamnia cinerea,NA,WD_twig,0.5310212765957446,1
SG02,NA,A63_Swollen Pulvinus vine,NA,Spatholobus ridleyi,NA,WD_twig,0.47861507128309566,1
SG02,NA,A63_Syzygium filiformi,NA,Syzygium filiforme,NA,WD_twig,0.6995811518324607,1
SG02,NA,A63_Trigonostemon,NA,Trigonostemon villosus,NA,WD_twig,0.6299265605875153,1
SG02,NA,B10_37,NA,Ochanostachys amentacea,NA,WD_twig,0.6220816793379533,1
SG02,NA,B10_71,NA,Litsea accedens,NA,WD_twig,0.47871208089409256,1
SG02,NA,D12_10,NA,Palaquium obovatum,NA,WD_twig,0.5090936121710689,1
SG02,NA,D12_56,NA,Litsea elliptica,NA,WD_twig,0.424362552327794,1
SG02,NA,D13_2,NA,Dasymaschalon dasymaschalum,NA,WD_twig,0.5452959334317541,1
SG02,NA,D13_24,NA,Gynotroches axillaris,NA,WD_twig,0.5394406033940917,1
SG02,NA,D13_26,NA,Syzygium filiforme,NA,WD_twig,0.530854271356784,1
SG02,NA,D13_32,NA,Baccaurea parviflora,NA,WD_twig,0.7503267973856209,1
SG02,NA,D13_5,NA,Aporosa frutescens,NA,WD_twig,0.5655204460966542,1
SG02,NA,D13_Timonius,NA,Timonius wallichianus,NA,WD_twig,0.705511811023622,1
SG02,NA,D23_13,NA,Scleropyrum pentandrum,NA,WD_twig,0.4108085412667946,1
SG02,NA,D23_14,NA,Xanthophyllum eurhynchum,NA,WD_twig,0.7014319809069212,1
SG02,NA,D23_17,NA,Baccaurea parviflora,NA,WD_twig,0.6784566949370342,1
SG02,NA,D23_2,NA,Dyera costulata,NA,WD_twig,0.12058328659562535,1
SG02,NA,D23_22,NA,Porterandia anisophylla,NA,WD_twig,0.4703905091448344,1
SG02,NA,D23_25,NA,Macaranga conifera,NA,WD_twig,0.4126162208553855,1
SG02,NA,D23_27,NA,Archidendron clypearia,NA,WD_twig,0.5922913842838773,1
SG02,NA,D23_37,NA,Dyera costulata,NA,WD_twig,0.19152676452491868,1
SG02,NA,D23_38,NA,Palaquium obovatum,NA,WD_twig,0.4662333705697167,1
SG02,NA,D23_39,NA,Lindera lucida,NA,WD_twig,0.43230403800475053,1
SG02,NA,D23_44,NA,Litsea firma,NA,WD_twig,0.3322429122630431,1
SG02,NA,D23_5,NA,Gironniera nervosa,NA,WD_twig,0.40677003712601006,1
SG02,NA,D23_56,NA,Bhesa robusta,NA,WD_twig,0.5787712488288047,1
SG02,NA,D23_57,NA,Macaranga gigantea,NA,WD_twig,0.2802839683680805,1
SG02,NA,D23_62,NA,Cratoxylum arborescens,NA,WD_twig,0.5252671617460605,1
SG02,NA,D23_70,NA,Buchanania sessilifolia,NA,WD_twig,0.5250146455770357,1
SG02,NA,D23_74,NA,Ochanostachys amentacea,NA,WD_twig,0.6087191108233517,1
SG02,NA,D23_75,NA,Dyera costulata,NA,WD_twig,0.34258031616522183,1
SG02,NA,D57_13,NA,Aquilaria malaccensis,NA,WD_twig,0.34542844090582786,1
SG02,NA,D57_19,NA,Elaeocarpus ferrugineus,NA,WD_twig,0.5210959130542585,1
SG02,NA,D57_21,NA,Psydrax sp. 10,NA,WD_twig,0.7856780394615087,1
SG02,NA,D57_35,NA,Psydrax sp. 10,NA,WD_twig,0.7768732097090305,1
SG02,NA,D57_41,NA,Cratoxylum formosum,NA,WD_twig,0.7196650459211238,1
SG02,NA,D57_46,NA,Aporosa globifera,NA,WD_twig,0.5874580166165811,1
SG02,NA,D57_81,NA,Glochidion lutescens,NA,WD_twig,0.5991471215351812,1
SG02,NA,D57_83,NA,Decaspermum parviflorum,NA,WD_twig,0.6364468371467024,1
SG02,NA,Dover_Baccaurea motleyana,NA,Baccaurea motleyana,NA,WD_twig,0.5838276053215078,1
SG02,NA,E10_40,NA,Artocarpus integer,NA,WD_twig,0.4174434938066658,1
SG02,NA,E10_5,NA,Artocarpus integer,NA,WD_twig,0.33207258510050575,1
SG02,NA,E10_58,NA,Ficus aurata,NA,WD_twig,0.5616405112441353,1
SG02,NA,E10_7,NA,Knema curtisii,NA,WD_twig,0.4547419616319914,1
SG02,NA,E10_81,NA,Garcinia parvifolia,NA,WD_twig,0.6680070227105397,1
SG02,NA,E10_9,NA,Calophyllum wallichianum var. incrassatum,NA,WD_twig,0.3977111510451149,1
SG02,NA,E10_Maesa,NA,Maesa ramentacea,NA,WD_twig,0.5079306071871128,1
SG02,NA,E3_23,NA,Mallotus paniculatus,NA,WD_twig,0.4327585257010633,1
SG02,NA,E3_38,NA,Elaeocarpus petiolatus,NA,WD_twig,0.49615837431228005,1
SG02,NA,E3_4,NA,Litsea grandis,NA,WD_twig,0.496067967982025,1
SG02,NA,E3_45,NA,Santiria rubiginosa,NA,WD_twig,0.5340962957946772,1
SG02,NA,E3_46,NA,Clerodendrum laevifolium,NA,WD_twig,0.42357658380112273,1
SG02,NA,E3_85,NA,Macaranga conifera,NA,WD_twig,0.40898480053950304,1
SG02,NA,E3_Elaeocarpus mastersii,NA,Elaeocarpus mastersii,NA,WD_twig,0.553258823058126,1
SG02,NA,E3_Elaeocarpus stipularis,NA,Elaeocarpus stipularis,NA,WD_twig,0.4055198878311563,1
SG02,NA,E3_Ficus fistulosa,NA,Artocarpus elasticus,NA,WD_twig,0.5138479845307155,1
SG02,NA,E3_Fisistigma,NA,Fissistigma manubriatum,NA,WD_twig,0.38504045786461416,1
SG02,NA,E3_Garcinia griff,NA,Garcinia griffithii,NA,WD_twig,0.4982738295722466,1
SG02,NA,E3_Syzygium filiformi,NA,Syzygium filiforme,NA,WD_twig,0.6911437338306962,1
SG02,NA,E6_65,NA,Litsea accedens,NA,WD_twig,0.39213095500256917,1
SG02,NA,E6_70,NA,Trema cannabina,NA,WD_twig,0.30368122032843026,1
SG02,NA,F1_107,NA,Gordonia multinervis,NA,WD_twig,0.3966514459665144,1
SG02,NA,F1_131,NA,Dacryodes longifolia,NA,WD_twig,0.4533990920809281,1
SG02,NA,F1_135,NA,Litsea elliptica,NA,WD_twig,0.3290633233396929,1
SG02,NA,F1_170,NA,Litsea castanea,NA,WD_twig,0.41150700934579443,1
SG02,NA,F1_19,NA,Syzygium filiforme,NA,WD_twig,0.6792104095815467,1
SG02,NA,F1_2,NA,Syzygium filiforme,NA,WD_twig,0.7526106414719045,1
SG02,NA,F1_20,NA,Alstonia angustifolia,NA,WD_twig,0.41002685765443153,1
SG02,NA,F1_21,NA,Syzygium filiforme,NA,WD_twig,0.6772140048680022,1
SG02,NA,F1_25,NA,Prunus polystachya,NA,WD_twig,0.4602208096353295,1
SG02,NA,F1_29,NA,Alstonia angustifolia,NA,WD_twig,0.5951244351091591,1
SG02,NA,F1_33,NA,Croton oblongus,NA,WD_twig,0.6264662395268605,1
SG02,NA,F1_39,NA,Syzygium filiforme,NA,WD_twig,0.7236653386454184,1
SG02,NA,F1_4,NA,Porterandia anisophylla,NA,WD_twig,0.5669685092580079,1
SG02,NA,F1_54,NA,Ochanostachys amentacea,NA,WD_twig,0.6437648927720414,1
SG02,NA,F1_7,NA,Rhodamnia cinerea,NA,WD_twig,0.7853213303325831,1
SG02,NA,F1_92,NA,Heritiera javanica,NA,WD_twig,0.40683904732336895,1
SG02,NA,F4_14,NA,Litsea elliptica,NA,WD_twig,0.3969868554095045,1
SG02,NA,F4_18,NA,Ixonanthes reticulata,NA,WD_twig,0.580715059588299,1
SG02,NA,F4_26,NA,Syzygium lineatum,NA,WD_twig,0.5942203491872367,1
SG02,NA,F4_33,NA,Archidendron clypearia,NA,WD_twig,0.3733150036277542,1
SG02,NA,F4_44,NA,Litsea elliptica,NA,WD_twig,0.3625600825833092,1
SG02,NA,F4_47,NA,Santiria laevigata,NA,WD_twig,0.28000778159652423,1
SG02,NA,F4_57,NA,Garcinia parvifolia,NA,WD_twig,0.6552137435077906,1
SG02,NA,F4_95,NA,Prunus polystachya,NA,WD_twig,0.3930306230200633,1
SG02,NA,G13_106,NA,Elaeocarpus salicifolius,NA,WD_twig,0.3779219624922229,1
SG02,NA,G13_11,NA,Xanthophyllum eurhynchum,NA,WD_twig,0.7136173888009212,1
