Project,PlotID,FieldID,Species,CollDate,MeasureDate,Ripen,Comment,Trait,OrgVal,IID
Mandai,near F4,Prunus polystachya,Prunus polystachya,2015-05-26T00:00:00Z,2015-05-26T00:00:00Z,ripe,minor mold on a few specimens,SDM seed,210.33333333333334,1
Opportunistic,Utown,fan palm,Licuala spinosa,2015-05-30T00:00:00Z,2015-05-30T00:00:00Z,ripe,NA,SDM seed,78,2
Opportunistic,Utown,fan palm,Licuala spinosa,2015-05-30T00:00:00Z,2015-05-30T00:00:00Z,ripe,NA,SDM seed,63.9,3
Opportunistic,Utown,fan palm,Licuala spinosa,2015-05-30T00:00:00Z,2015-05-30T00:00:00Z,ripe,NA,SDM seed,75.80000000000001,4
Mandai,Outside F1,Macaranga tritocarpa,Macaranga trichocarpa,2015-05-27T00:00:00Z,2015-05-27T00:00:00Z,ripe,NA,SDM seed,15.325,5
Mandai,Outside G17,Anisophyllea disticha,Anisophyllea disticha,2015-06-05T00:00:00Z,2015-06-09T00:00:00Z,ripe,NA,SDM seed,180,6
Mandai,Outside G17,Anisophyllea disticha,Anisophyllea disticha,2015-06-05T00:00:00Z,2015-06-09T00:00:00Z,ripe,NA,SDM seed,147,7
Mandai,Mandai road,Mallotus,Mallotus paniculatus,2015-06-05T00:00:00Z,2015-06-09T00:00:00Z,ripe,NA,SDM seed,5.262295081967213,8
Mandai,Mandai road,Callerya atropurpurea,Callerya atropurpurea,2015-06-10T00:00:00Z,2015-06-10T00:00:00Z,ripe,dropped to the ground by itself,SDM seed,26518.4,9
Mandai,Mandai road,Callerya atropurpurea,Callerya atropurpurea,2015-06-11T00:00:00Z,2015-06-11T00:00:00Z,ripe,dropped to the ground by itself,SDM seed,13809,10
Mandai,Mandai road,Callerya atropurpurea,Callerya atropurpurea,2015-06-11T00:00:00Z,2015-06-11T00:00:00Z,ripe,dropped to the ground by itself,SDM seed,22692,11
Mandai,Near G2,Anisophyllea disticha,Anisophyllea disticha,2015-06-08T00:00:00Z,2015-06-12T00:00:00Z,ripe,NA,SDM seed,158,12
Mandai,Near E10,Anisophyllea disticha,Anisophyllea disticha,2015-06-10T00:00:00Z,2015-06-13T00:00:00Z,ripe,NA,SDM seed,172,13
Mandai,Mandai road,Syzygium polyanthum,Syzygium polyanthum,2015-06-09T00:00:00Z,2015-06-13T00:00:00Z,ripe,NA,SDM seed,204,14
Mandai,Mandai road,Syzygium polyanthum,Syzygium polyanthum,2015-06-09T00:00:00Z,2015-06-13T00:00:00Z,ripe,NA,SDM seed,144,15
Mandai,Mandai road,Syzygium polyanthum,Syzygium polyanthum,2015-06-09T00:00:00Z,2015-06-13T00:00:00Z,ripe,NA,SDM seed,181,16
Mandai,Mandai road,Syzygium polyanthum,Syzygium polyanthum,2015-06-09T00:00:00Z,2015-06-13T00:00:00Z,ripe,NA,SDM seed,152,17
Opportunistic,S1,Terminalia catappa,Terminalia catappa,2015-06-13T00:00:00Z,2015-06-19T00:00:00Z,green,dropped to the ground by itself,SDM seed,56.99999999999999,18
Opportunistic,Alex,Dimocarpus longan,Dimocarpus longan,2015-06-15T00:00:00Z,2015-06-19T00:00:00Z,ripe,NA,SDM seed,358.3,19
Mandai,Road to hell,Anisophyllea disticha,Anisophyllea disticha,NA,NA,ripe,NA,SDM seed,171,20
Opportunistic,S1,Suregada multiflora,Suregada multiflora,2015-06-29T00:00:00Z,2015-06-29T00:00:00Z,ripe,NA,SDM seed,25.8,21
Opportunistic,S15,Cassia fistula,Cassia fistula,2015-06-20T00:00:00Z,2015-06-20T00:00:00Z,ripe,NA,SDM seed,90.19444444444444,22
Mandai,Mandai,Prunus polystachya,Prunus polystachya,NA,NA,ripe,NA,SDM seed,672,23
Opportunistic,Alex,Carica papaya,Carica papaya,NA,NA,ripe,NA,SDM seed,14.9,24
Opportunistic,Alex,Carica papaya,Carica papaya,NA,NA,ripe,NA,SDM seed,16.1,25
Opportunistic,Alex,Carica papaya,Carica papaya,NA,NA,ripe,NA,SDM seed,14.099999999999998,26
Opportunistic,Alex,Nephelium lappaceum,Nephelium lappaceum,NA,NA,ripe,NA,SDM seed,1882,27
Opportunistic,Alex,Nephelium lappaceum,Nephelium lappaceum,NA,NA,ripe,NA,SDM seed,2086,28
Opportunistic,UHall,Suregada multiflora,Suregada multiflora,NA,2015-09-02T00:00:00Z,ripe,NA,SDM seed,18.666666666666668,29
Opportunistic,KR,Acacia auriculiformis,Acacia auriculiformis,NA,2015-09-02T00:00:00Z,ripe,NA,SDM seed,17,30
Opportunistic,UHall,Ardisia elliptica,Ardisia elliptica,2015-08-17T00:00:00Z,2015-09-02T00:00:00Z,ripe,NA,SDM seed,5,31
Opportunistic,UHall,Memecylon UHall,Memecylon caeruleum,2015-08-17T00:00:00Z,2015-09-02T00:00:00Z,ripe,NA,SDM seed,124,32
Opportunistic,S8,Leea indica,Leea indica,NA,2015-09-02T00:00:00Z,ripe,NA,SDM seed,19,33
Opportunistic,Ubin,Antidesma velutinosum,Antidesma velutinosum,2015-08-20T00:00:00Z,2015-09-02T00:00:00Z,ripe,NA,SDM seed,21.6,34
Opportunistic,KR,Tetracera indica,Tetracera indica,NA,2015-09-02T00:00:00Z,ripe,NA,SDM seed,14.11111111111111,35
Opportunistic,UHall,Calophyllum soulattri,Calophyllum soulattri,2015-09-01T00:00:00Z,2015-09-09T00:00:00Z,ripe,NA,SDM seed,94.8,36
Opportunistic,Nee Soon,Trichosanthes wawraei,Trichosanthes wawraei,NA,2015-10-14T00:00:00Z,ripe,NA,SDM seed,376.29999999999995,37
Mandai,Nee Soon,Prunus polystachya,Prunus polystachya,2015-10-15T00:00:00Z,2015-10-23T00:00:00Z,ripe,NA,SDM seed,425,38
Mandai,Nee Soon,Campnosperma auriculatum,Campnosperma auriculatum,2015-10-15T00:00:00Z,2015-10-23T00:00:00Z,green,dropped to the ground with whole branch,SDM seed,37.199999999999996,39
Mandai,Nee Soon,Campnosperma squamatum,Campnosperma squamatum,2015-10-15T00:00:00Z,2015-10-23T00:00:00Z,ripe,NA,SDM seed,138,40
Opportunistic,Railway,Senna alata,Senna alata,2015-10-13T00:00:00Z,2015-10-31T00:00:00Z,green,"green pod, dried in oven and then naturally cracked",SDM seed,27.000000000000004,41
Opportunistic,Utown,Syzygium zeylanicum,Syzygium zeylanicum,NA,2015-10-31T00:00:00Z,ripe,white fruit,SDM seed,16.76,42
Herbarium,SINU,Archidendron jiringa,Archidendron jiringa,NA,2015-11-18T00:00:00Z,ripe,"SINU unlabelled jar; collected by RML Teo, Pulau Tekong",SDM seed,11673.666666666668,43
Herbarium,SINU,2007019166,Elaeocarpus mastersii,NA,2015-11-18T00:00:00Z,ripe,SINU barcode 2007019166; measured with dried mesocarp,SDM seed,123.75,44
Herbarium,SINU,2007003022,Elaeocarpus petiolatus,1959-03-06T00:00:00Z,2015-11-18T00:00:00Z,ripe,SINU barcode 2007003022; collected by Abu Kassim from MacRitchie,SDM seed,115,45
Herbarium,SINU,Gymnacranthera farquhariana,Gymnacranthera farquhariana,2002-07-12T00:00:00Z,2015-11-18T00:00:00Z,ripe,SINU unlabelled jar; collected by CK Yeo from MacRitchie Nature Trail,SDM seed,366.33333333333337,46
Herbarium,SINU,2007021708,Indigofera hirsuta,NA,2015-11-18T00:00:00Z,ripe,SINU barcode 2007021708,SDM seed,0.6000000000000001,47
Herbarium,SINU,Koompassia malaccensis,Koompassia malaccensis,2002-07-10T00:00:00Z,2015-11-18T00:00:00Z,ripe,measured with wing structure; collected by CK Yeo and EEK Phua from MacRitchie Nature Trail,SDM seed,555.4,48
Herbarium,SINU,Dialum indum,Dialum indum,2015-04-01T00:00:00Z,2015-11-18T00:00:00Z,ripe,"measured with mesocarp; SINU unlabelled jar; bought from market, Pahang by BC Ng",SDM seed,332.5,49
Opportunistic,KR,ivy palm,Arthrophyllum diversifolium,2015-11-20T00:00:00Z,2015-12-12T00:00:00Z,ripe,NA,SDM seed,15.545454545454547,50
Mandai,Nee Soon,Prunus polystachya,Prunus polystachya,2015-11-26T00:00:00Z,2015-12-12T00:00:00Z,ripe,NA,SDM seed,1366,51
Mandai,Nee Soon,Macaranga bancana,Macaranga bancana,2015-11-26T00:00:00Z,2015-12-12T00:00:00Z,ripe,NA,SDM seed,11.3,52
Mandai,Nee Soon,Camnosperma big,Campnosperma squamatum,2015-11-26T00:00:00Z,2015-12-12T00:00:00Z,ripe,NA,SDM seed,135.5,53
