ID,species,trait_name,value
ARDICO01,Ardisia colorata,lamina_SLA,149.411126854086
ARDICO02,Ardisia colorata,lamina_SLA,133.755650116212
ARDICO03,Ardisia colorata,lamina_SLA,139.006319837357
ARDICO04,Ardisia colorata,lamina_SLA,133.158585412894
ARDICO05,Ardisia colorata,lamina_SLA,130.998616498897
ARDICO06,Ardisia colorata,lamina_SLA,145.884121005615
ARDICO07,Ardisia colorata,lamina_SLA,110.790397934959
ARDITY01,Ardisia teysmanniana,lamina_SLA,117.356401386135
ARDITY02,Ardisia teysmanniana,lamina_SLA,147.278159695925
ARDITY03,Ardisia teysmanniana,lamina_SLA,150.615417645777
ARDITY04,Ardisia teysmanniana,lamina_SLA,133.056306428838
ARDITY05,Ardisia teysmanniana,lamina_SLA,122.745712330974
ARDITY06,Ardisia teysmanniana,lamina_SLA,130.960045670901
BACCSU01,Baccaurea sumatrana,lamina_SLA,182.498100188647
BACCSU02,Baccaurea sumatrana,lamina_SLA,131.528950447179
BACCSU03,Baccaurea sumatrana,lamina_SLA,155.7272686407
CALOBM01,Calophyllum ferrugineum,lamina_SLA,102.957701728228
CALOBM02,Calophyllum ferrugineum,lamina_SLA,90.84585254652
CALOBM03,Calophyllum ferrugineum,lamina_SLA,91.3480539689934
CALOBM04,Calophyllum ferrugineum,lamina_SLA,93.4324029158645
CALOBM05,Calophyllum ferrugineum,lamina_SLA,92.3109563742336
CALOBM06,Calophyllum ferrugineum,lamina_SLA,95.8835490704721
CALOPC01,Calophyllum pulcherrimum,lamina_SLA,91.8885302802256
CALOPC02,Calophyllum pulcherrimum,lamina_SLA,111.170647893541
CALOPC03,Calophyllum pulcherrimum,lamina_SLA,119.256994449098
CALOPC04,Calophyllum pulcherrimum,lamina_SLA,130.039622249231
CALOPC05,Calophyllum pulcherrimum,lamina_SLA,95.1094238240178
CALOPC06,Calophyllum pulcherrimum,lamina_SLA,127.667492894672
CANAPA01,Canarium patentinervium,lamina_SLA,152.520013245238
CANAPA02,Canarium patentinervium,lamina_SLA,113.115264956911
CANAPA04,Canarium patentinervium,lamina_SLA,118.007581685937
DACRRO03,Dacryodes rostrata,lamina_SLA,144.387292628284
DACRRO04,Dacryodes rostrata,lamina_SLA,110.200001371976
DACRRO06,Dacryodes rostrata,lamina_SLA,130.828781371678
DACRRO07,Dacryodes rostrata,lamina_SLA,112.231661676249
DACRRO08,Dacryodes rostrata,lamina_SLA,134.140440716591
DIOSLA01,Diospyros lanceifolia,lamina_SLA,150.398879070689
DIOSLA02,Diospyros lanceifolia,lamina_SLA,116.716530270074
GIROPA01,Gironniera parvifolia,lamina_SLA,112.663292746045
GIROPA02,Gironniera parvifolia,lamina_SLA,142.336786709125
GIROPA03,Gironniera parvifolia,lamina_SLA,131.953624881299
GIROPA04,Gironniera parvifolia,lamina_SLA,116.989044167701
GIROPA05,Gironniera parvifolia,lamina_SLA,121.39147963359
GLUTWA01,Gluta wallichii,lamina_SLA,86.3705611580039
GLUTWA02,Gluta wallichii,lamina_SLA,112.048459832875
GLUTWA03,Gluta wallichii,lamina_SLA,117.90585186921
GOM1QU01,Gomphandra quadrifida,lamina_SLA,234.622658022359
GONYMA01,Gonystylus confusus,lamina_SLA,88.7548675712075
GONYMA03,Gonystylus confusus,lamina_SLA,110.792651202516
GONYMA04,Gonystylus confusus,lamina_SLA,100.927689802793
GONYMA05,Gonystylus confusus,lamina_SLA,95.8232480932138
GYNOAX02,Gynotroches axillaris,lamina_SLA,152.656998873606
GYNOAX03,Gynotroches axillaris,lamina_SLA,147.798052242339
GYNOAX04,Gynotroches axillaris,lamina_SLA,137.146192728193
GYNOAX05,Gynotroches axillaris,lamina_SLA,137.255960089507
GYNOAX06,Gynotroches axillaris,lamina_SLA,127.729395385939
LITSAC01,Litsea accedens,lamina_SLA,129.492896687152
LITSAC02,Litsea accedens,lamina_SLA,100.13568516208301
LITSAC03,Litsea accedens,lamina_SLA,101.131188427949
LITSAC04,Litsea accedens,lamina_SLA,133.782073693178
LITSAC06,Litsea accedens,lamina_SLA,120.685722778499
LITSAC07,Litsea accedens,lamina_SLA,116.231395640106
PALAKI01,Madhuca kingiana,lamina_SLA,86.189443899759
PALAKI02,Madhuca kingiana,lamina_SLA,81.2710508592253
PALAKI03,Madhuca kingiana,lamina_SLA,94.9601810491893
PALAKI04,Madhuca kingiana,lamina_SLA,79.2368334502773
PALAKI05,Madhuca kingiana,lamina_SLA,83.0813256265423
PIMEGR01,Pimelodendron griffithianum,lamina_SLA,151.884215327237
PIMEGR02,Pimelodendron griffithianum,lamina_SLA,112.204792771582
PIMEGR03,Pimelodendron griffithianum,lamina_SLA,151.087641002866
PIMEGR04,Pimelodendron griffithianum,lamina_SLA,125.024642194708
PIMEGR05,Pimelodendron griffithianum,lamina_SLA,151.451165945466
POPOTO04,Popowia tomentosa,lamina_SLA,166.696602621457
POPOTO05,Popowia tomentosa,lamina_SLA,142.573808679143
POPOTO06,Popowia tomentosa,lamina_SLA,174.444762132391
POPOTO07,Popowia tomentosa,lamina_SLA,175.375161450548
SANTAP01,Santiria apiculata,lamina_SLA,131.907484304636
SANTAP02,Santiria apiculata,lamina_SLA,131.349905687874
SANTAP03,Santiria apiculata,lamina_SLA,146.244707321605
SANTAP04,Santiria apiculata,lamina_SLA,132.326225034896
SHORCU01,Shorea curtisii,lamina_SLA,112.46077992548
SHORCU02,Shorea curtisii,lamina_SLA,129.164780782147
