"","sp","ID","lamina_ldmc","full_ldmc","unit","species"
"1","CALOBM","CALOBM01",454.978873573856,450.857713633363,"mg/g","Calophyllum ferrugineum"
"2","CALOBM","CALOBM02",443.074451006552,438.241671736444,"mg/g","Calophyllum ferrugineum"
"3","CALOBM","CALOBM03",443.677216867373,439.806611895861,"mg/g","Calophyllum ferrugineum"
"4","CALOBM","CALOBM04",417.725517952977,413.855993896927,"mg/g","Calophyllum ferrugineum"
"5","CALOBM","CALOBM05",441.912941000002,439.338978681614,"mg/g","Calophyllum ferrugineum"
"6","CALOBM","CALOBM06",432.754082825575,426.984084763275,"mg/g","Calophyllum ferrugineum"
"7","BACCSU","BACCSU01",245.646890997815,245.803857926657,"mg/g","Baccaurea sumatrana"
"8","BACCSU","BACCSU02",277.39512057122,276.015892827834,"mg/g","Baccaurea sumatrana"
"9","BACCSU","BACCSU03",269.932008178905,269.418413215339,"mg/g","Baccaurea sumatrana"
"10","POPOTO","POPOTO04",293.800916543291,292.454765310922,"mg/g","Popowia tomentosa"
"11","POPOTO","POPOTO05",343.855775760359,339.927449301507,"mg/g","Popowia tomentosa"
"12","POPOTO","POPOTO06",313.267930139114,311.637289017341,"mg/g","Popowia tomentosa"
"13","POPOTO","POPOTO07",306.265063644429,301.701634989715,"mg/g","Popowia tomentosa"
"14","GYNOAX","GYNOAX02",244.6778703928,239.786823928044,"mg/g","Gynotroches axillaris"
"15","GYNOAX","GYNOAX03",270.498038694391,266.522897179953,"mg/g","Gynotroches axillaris"
"16","GYNOAX","GYNOAX04",258.744672077389,256.175583913741,"mg/g","Gynotroches axillaris"
"17","GYNOAX","GYNOAX05",263.211589296066,259.292557903561,"mg/g","Gynotroches axillaris"
"18","GYNOAX","GYNOAX06",314.288321719011,309.398924909131,"mg/g","Gynotroches axillaris"
"19","GOM1QU","GOM1QU01",251.93094530704,251.221502501806,"mg/g","Gomphandra quadrifida"
"20","GOM1QU","GOM1QU02",311.358985661942,310.478384398054,"mg/g","Gomphandra quadrifida"
"21","GIROPA","GIROPA01",387.018646065558,384.045537889022,"mg/g","Gironniera parvifolia"
"22","GIROPA","GIROPA02",385.054901334603,381.936181903232,"mg/g","Gironniera parvifolia"
"23","GIROPA","GIROPA03",392.359653942866,404.07946473402,"mg/g","Gironniera parvifolia"
"24","GIROPA","GIROPA04",390.451396978175,386.227546551479,"mg/g","Gironniera parvifolia"
"25","GIROPA","GIROPA05",400.246457178065,395.974752887936,"mg/g","Gironniera parvifolia"
"26","PALAKI","PALAKI01",359.704592927963,348.688595950696,"mg/g","Madhuca kingiana"
"27","PALAKI","PALAKI02",355.286549917166,348.854704294023,"mg/g","Madhuca kingiana"
"28","PALAKI","PALAKI03",370.11428166927,363.407945553595,"mg/g","Madhuca kingiana"
"29","PALAKI","PALAKI04",392.183325477388,382.850594764155,"mg/g","Madhuca kingiana"
"30","PALAKI","PALAKI05",362.68811369395,357.046621463584,"mg/g","Madhuca kingiana"
"31","STREEL","STREEL04",342.809601404037,338.010526212518,"mg/g","Streblus elongatus"
"32","STREEL","STREEL05",337.671694413786,333.244948442006,"mg/g","Streblus elongatus"
"33","STREEL","STREEL06",358.054537196728,351.464058266643,"mg/g","Streblus elongatus"
"34","STREEL","STREEL07",285.264948664084,281.95870017494,"mg/g","Streblus elongatus"
"35","SHORCU","SHORCU01",429.080567810747,419.356691365398,"mg/g","Shorea curtisii"
"36","SHORCU","SHORCU02",417.029287109907,407.286641530948,"mg/g","Shorea curtisii"
"37","SHORCU","SHORCU03",398.185727648041,387.311206295709,"mg/g","Shorea curtisii"
"38","SHORCU","SHORCU04",383.075331725546,373.597602337734,"mg/g","Shorea curtisii"
"39","SHORCU","SHORCU05",435.475838133163,424.480488338797,"mg/g","Shorea curtisii"
"40","LITSAC","LITSAC01",376.718798534306,366.087316874605,"mg/g","Litsea accedens"
"41","LITSAC","LITSAC02",367.006465279266,364.09901461388,"mg/g","Litsea accedens"
"42","LITSAC","LITSAC03",376.611624571632,372.431596946497,"mg/g","Litsea accedens"
"43","LITSAC","LITSAC04",335.355291828682,328.354487374302,"mg/g","Litsea accedens"
"44","LITSAC","LITSAC06",363.797969735314,361.93929062794,"mg/g","Litsea accedens"
"45","LITSAC","LITSAC07",346.764025702989,340.415323252039,"mg/g","Litsea accedens"
"46","ARDICO","ARDICO02",351.201251710709,347.065229617221,"mg/g","Ardisia colorata"
"47","ARDICO","ARDICO03",295.662716027919,291.8220374005,"mg/g","Ardisia colorata"
"48","ARDICO","ARDICO04",286.610154930309,285.199491208813,"mg/g","Ardisia colorata"
"49","ARDICO","ARDICO05",294.940867873592,292.60748776768,"mg/g","Ardisia colorata"
"50","ARDICO","ARDICO06",283.987961966791,280.813073434354,"mg/g","Ardisia colorata"
"51","ARDICO","ARDICO07",314.018313013595,310.02188651121,"mg/g","Ardisia colorata"
"52","GLUTWA","GLUTWA01",382.354908245733,375.257273464165,"mg/g","Gluta wallichii"
"53","GLUTWA","GLUTWA02",426.049496451241,413.157307464596,"mg/g","Gluta wallichii"
"54","GLUTWA","GLUTWA03",419.310793419755,411.704757803384,"mg/g","Gluta wallichii"
"55","STROCE","STROCE01",370.770432173918,368.943528379964,"mg/g","Strombosia ceylanica"
"56","STROCE","STROCE02",311.852996526761,311.270926919396,"mg/g","Strombosia ceylanica"
"57","STROCE","STROCE03",345.979058539459,345.297827755262,"mg/g","Strombosia ceylanica"
"58","STROCE","STROCE04",350.068229691306,349.154037101751,"mg/g","Strombosia ceylanica"
"59","STROCE","STROCE05",372.418021704777,370.972491423683,"mg/g","Strombosia ceylanica"
"60","GONYMA","GONYMA01",396.175717436875,386.055436051098,"mg/g","Gonystylus confusus"
"61","GONYMA","GONYMA02",392.721601015364,381.467866773719,"mg/g","Gonystylus confusus"
"62","GONYMA","GONYMA03",378.602476915434,368.42624384195,"mg/g","Gonystylus confusus"
"63","GONYMA","GONYMA04",370.92254619129,359.09601014642,"mg/g","Gonystylus confusus"
"64","GONYMA","GONYMA05",382.085730600916,371.267375985131,"mg/g","Gonystylus confusus"
"65","DIOSLA","DIOSLA01",414.724375752914,409.555797999181,"mg/g","Diospyros lanceifolia"
"66","DIOSLA","DIOSLA02",414.683999854315,403.183108612032,"mg/g","Diospyros lanceifolia"
"67","CALOPC","CALOPC01",534.748247375835,526.388923803742,"mg/g","Calophyllum pulcherrimum"
"68","CALOPC","CALOPC02",485.954560013008,482.961107096628,"mg/g","Calophyllum pulcherrimum"
"69","CALOPC","CALOPC03",481.778120468655,472.361737049469,"mg/g","Calophyllum pulcherrimum"
"70","CALOPC","CALOPC04",491.194026459591,485.834084962446,"mg/g","Calophyllum pulcherrimum"
"71","CALOPC","CALOPC05",508.262389595117,502.521598187594,"mg/g","Calophyllum pulcherrimum"
"72","CALOPC","CALOPC06",479.89361699457,478.121690712601,"mg/g","Calophyllum pulcherrimum"
"73","PIMEGR","PIMEGR01",368.345346872025,364.054190873639,"mg/g","Pimelodendron griffithianum"
"74","PIMEGR","PIMEGR02",375.029013688472,371.500107868277,"mg/g","Pimelodendron griffithianum"
"75","PIMEGR","PIMEGR03",348.612590772411,347.554638791665,"mg/g","Pimelodendron griffithianum"
"76","PIMEGR","PIMEGR04",378.556349743557,375.026702105094,"mg/g","Pimelodendron griffithianum"
"77","PIMEGR","PIMEGR05",372.18097205733,366.981124578024,"mg/g","Pimelodendron griffithianum"
"78","ARDITY","ARDITY01",346.792364788617,343.986797528353,"mg/g","Ardisia teysmanniana"
"79","ARDITY","ARDITY02",311.550812797815,307.692554680035,"mg/g","Ardisia teysmanniana"
"80","ARDITY","ARDITY03",313.580773306499,312.184913508731,"mg/g","Ardisia teysmanniana"
"81","ARDITY","ARDITY04",331.485790918703,329.358653843585,"mg/g","Ardisia teysmanniana"
"82","ARDITY","ARDITY05",340.74532654831,338.258442821354,"mg/g","Ardisia teysmanniana"
"83","ARDITY","ARDITY06",299.534673536607,296.8504724422,"mg/g","Ardisia teysmanniana"
"84","DACRRO","DACRRO03",507.310551509712,603.403149067238,"mg/g","Dacryodes rostrata"
"85","DACRRO","DACRRO04",450.363905404954,533.31175348404,"mg/g","Dacryodes rostrata"
"86","DACRRO","DACRRO06",481.774600250675,573.922124552915,"mg/g","Dacryodes rostrata"
"87","DACRRO","DACRRO07",530.323529020882,635.090520850963,"mg/g","Dacryodes rostrata"
"88","DACRRO","DACRRO08",490.314660132042,574.30099672086,"mg/g","Dacryodes rostrata"
"89","CANAPA","CANAPA01",383.090612720236,447.094434491389,"mg/g","Canarium patentinervium"
"90","CANAPA","CANAPA02",452.262358323985,519.489695118084,"mg/g","Canarium patentinervium"
"91","CANAPA","CANAPA03",452.966475797886,524.797897423624,"mg/g","Canarium patentinervium"
"92","CANAPA","CANAPA04",460.848107007806,519.561908214433,"mg/g","Canarium patentinervium"
"93","SANTAP","SANTAP01",349.646613378329,373.261607944035,"mg/g","Santiria apiculata"
"94","SANTAP","SANTAP02",342.20080861007,371.430517657059,"mg/g","Santiria apiculata"
"95","SANTAP","SANTAP03",351.177662737133,428.006212755315,"mg/g","Santiria apiculata"
"96","SANTAP","SANTAP04",387.43652589559,417.365098116166,"mg/g","Santiria apiculata"
