"","ID","sp","lamina_SLA","full_SLA","unit","species"
"1","ARDICO01","ARDICO",149.411126854086,150.127625402197,"cm^2/g","Ardisia colorata"
"2","ARDICO02","ARDICO",133.755650116212,134.397308738011,"cm^2/g","Ardisia colorata"
"3","ARDICO03","ARDICO",139.006319837357,140.055896001257,"cm^2/g","Ardisia colorata"
"4","ARDICO04","ARDICO",133.158585412894,133.841392768611,"cm^2/g","Ardisia colorata"
"5","ARDICO05","ARDICO",130.998616498897,131.63368342143,"cm^2/g","Ardisia colorata"
"6","ARDICO06","ARDICO",145.884121005615,146.587222898213,"cm^2/g","Ardisia colorata"
"7","ARDICO07","ARDICO",110.790397934959,111.429621119999,"cm^2/g","Ardisia colorata"
"8","ARDITY01","ARDITY",117.356401386135,118.140134436617,"cm^2/g","Ardisia teysmanniana"
"9","ARDITY02","ARDITY",147.278159695925,148.214650881438,"cm^2/g","Ardisia teysmanniana"
"10","ARDITY03","ARDITY",150.615417645777,151.293345282139,"cm^2/g","Ardisia teysmanniana"
"11","ARDITY04","ARDITY",133.056306428838,133.763281233851,"cm^2/g","Ardisia teysmanniana"
"12","ARDITY05","ARDITY",122.745712330974,123.421915256661,"cm^2/g","Ardisia teysmanniana"
"13","ARDITY06","ARDITY",130.960045670901,131.850062102792,"cm^2/g","Ardisia teysmanniana"
"14","BACCSU01","BACCSU",182.498100188647,183.935521068082,"cm^2/g","Baccaurea sumatrana"
"15","BACCSU02","BACCSU",131.528950447179,134.053196485027,"cm^2/g","Baccaurea sumatrana"
"16","BACCSU03","BACCSU",155.7272686407,156.994799048557,"cm^2/g","Baccaurea sumatrana"
"17","CALOBM01","CALOBM",102.957701728228,103.501112821925,"cm^2/g","Calophyllum ferrugineum"
"18","CALOBM02","CALOBM",90.84585254652,91.4240319097952,"cm^2/g","Calophyllum ferrugineum"
"19","CALOBM03","CALOBM",91.3480539689934,91.8652992453305,"cm^2/g","Calophyllum ferrugineum"
"20","CALOBM04","CALOBM",93.4324029158645,93.9573870674691,"cm^2/g","Calophyllum ferrugineum"
"21","CALOBM05","CALOBM",92.3109563742336,92.8033906268393,"cm^2/g","Calophyllum ferrugineum"
"22","CALOBM06","CALOBM",95.8835490704721,96.5212473319659,"cm^2/g","Calophyllum ferrugineum"
"23","CALOPC01","CALOPC",91.8885302802256,92.7487126890235,"cm^2/g","Calophyllum pulcherrimum"
"24","CALOPC02","CALOPC",111.170647893541,111.819365442715,"cm^2/g","Calophyllum pulcherrimum"
"25","CALOPC03","CALOPC",119.256994449098,121.578838409324,"cm^2/g","Calophyllum pulcherrimum"
"26","CALOPC04","CALOPC",130.039622249231,130.929049183042,"cm^2/g","Calophyllum pulcherrimum"
"27","CALOPC05","CALOPC",95.1094238240178,95.7874431547182,"cm^2/g","Calophyllum pulcherrimum"
"28","CALOPC06","CALOPC",127.667492894672,128.383488469455,"cm^2/g","Calophyllum pulcherrimum"
"29","CANAPA01","CANAPA",152.520013245238,158.526929168574,"cm^2/g","Canarium patentinervium"
"30","CANAPA02","CANAPA",113.115264956911,117.482975144165,"cm^2/g","Canarium patentinervium"
"31","CANAPA04","CANAPA",118.007581685937,122.516012454881,"cm^2/g","Canarium patentinervium"
"32","DACRRO03","DACRRO",144.387292628284,151.77732403993,"cm^2/g","Dacryodes rostrata"
"33","DACRRO04","DACRRO",110.200001371976,115.912926580666,"cm^2/g","Dacryodes rostrata"
"34","DACRRO06","DACRRO",130.828781371678,137.859733804567,"cm^2/g","Dacryodes rostrata"
"35","DACRRO07","DACRRO",112.231661676249,122.73898246564,"cm^2/g","Dacryodes rostrata"
"36","DACRRO08","DACRRO",134.140440716591,140.688273818398,"cm^2/g","Dacryodes rostrata"
"37","DIOSLA01","DIOSLA",150.398879070689,151.166348934281,"cm^2/g","Diospyros lanceifolia"
"38","DIOSLA02","DIOSLA",116.716530270074,117.616486025693,"cm^2/g","Diospyros lanceifolia"
"39","GIROPA01","GIROPA",112.663292746045,113.106773662945,"cm^2/g","Gironniera parvifolia"
"40","GIROPA02","GIROPA",142.336786709125,142.890933542565,"cm^2/g","Gironniera parvifolia"
"41","GIROPA03","GIROPA",131.953624881299,132.327132455366,"cm^2/g","Gironniera parvifolia"
"42","GIROPA04","GIROPA",116.989044167701,117.499546014596,"cm^2/g","Gironniera parvifolia"
"43","GIROPA05","GIROPA",121.39147963359,121.822963445415,"cm^2/g","Gironniera parvifolia"
"44","GLUTWA01","GLUTWA",86.3705611580039,87.7706123951351,"cm^2/g","Gluta wallichii"
"45","GLUTWA02","GLUTWA",112.048459832875,113.196456573922,"cm^2/g","Gluta wallichii"
"46","GLUTWA03","GLUTWA",117.90585186921,119.048678969778,"cm^2/g","Gluta wallichii"
"47","GOM1QU01","GOM1QU",234.622658022359,235.36714047595,"cm^2/g","Gomphandra quadrifida"
"48","GONYMA01","GONYMA",88.7548675712075,89.597698700614,"cm^2/g","Gonystylus confusus"
"49","GONYMA03","GONYMA",110.792651202516,111.276223315064,"cm^2/g","Gonystylus confusus"
"50","GONYMA04","GONYMA",100.927689802793,101.652333460274,"cm^2/g","Gonystylus confusus"
"51","GONYMA05","GONYMA",95.8232480932138,96.5583190179349,"cm^2/g","Gonystylus confusus"
"52","GYNOAX02","GYNOAX",152.656998873606,153.421927318702,"cm^2/g","Gynotroches axillaris"
"53","GYNOAX03","GYNOAX",147.798052242339,148.424693712974,"cm^2/g","Gynotroches axillaris"
"54","GYNOAX04","GYNOAX",137.146192728193,137.806316433069,"cm^2/g","Gynotroches axillaris"
"55","GYNOAX05","GYNOAX",137.255960089507,138.017124330903,"cm^2/g","Gynotroches axillaris"
"56","GYNOAX06","GYNOAX",127.729395385939,128.378551990522,"cm^2/g","Gynotroches axillaris"
"57","LITSAC01","LITSAC",129.492896687152,130.098056844618,"cm^2/g","Litsea accedens"
"58","LITSAC02","LITSAC",100.135685162083,100.731004030875,"cm^2/g","Litsea accedens"
"59","LITSAC03","LITSAC",101.131188427949,101.768924611234,"cm^2/g","Litsea accedens"
"60","LITSAC04","LITSAC",133.782073693178,134.677296401608,"cm^2/g","Litsea accedens"
"61","LITSAC06","LITSAC",120.685722778499,121.186317837889,"cm^2/g","Litsea accedens"
"62","LITSAC07","LITSAC",116.231395640106,117.166834763639,"cm^2/g","Litsea accedens"
"63","PALAKI01","PALAKI",86.189443899759,87.2385466248753,"cm^2/g","Madhuca kingiana"
"64","PALAKI02","PALAKI",81.2710508592253,82.29492583566,"cm^2/g","Madhuca kingiana"
"65","PALAKI03","PALAKI",94.9601810491893,96.3021435438812,"cm^2/g","Madhuca kingiana"
"66","PALAKI04","PALAKI",79.2368334502773,80.3897038531046,"cm^2/g","Madhuca kingiana"
"67","PALAKI05","PALAKI",83.0813256265423,84.001484650833,"cm^2/g","Madhuca kingiana"
"68","PIMEGR01","PIMEGR",151.884215327237,154.391151413737,"cm^2/g","Pimelodendron griffithianum"
"69","PIMEGR02","PIMEGR",112.204792771582,113.857915741255,"cm^2/g","Pimelodendron griffithianum"
"70","PIMEGR03","PIMEGR",151.087641002866,153.583751900256,"cm^2/g","Pimelodendron griffithianum"
"71","PIMEGR04","PIMEGR",125.024642194708,126.862938121934,"cm^2/g","Pimelodendron griffithianum"
"72","PIMEGR05","PIMEGR",151.451165945466,153.922988796356,"cm^2/g","Pimelodendron griffithianum"
"73","POPOTO04","POPOTO",166.696602621457,167.031649758799,"cm^2/g","Popowia tomentosa"
"74","POPOTO05","POPOTO",142.573808679143,142.93124343463,"cm^2/g","Popowia tomentosa"
"75","POPOTO06","POPOTO",174.444762132391,174.799977540155,"cm^2/g","Popowia tomentosa"
"76","POPOTO07","POPOTO",175.375161450548,180.057976844072,"cm^2/g","Popowia tomentosa"
"77","SANTAP01","SANTAP",131.907484304636,133.856711289079,"cm^2/g","Santiria apiculata"
"78","SANTAP02","SANTAP",131.349905687874,133.860689472035,"cm^2/g","Santiria apiculata"
"79","SANTAP03","SANTAP",146.244707321605,149.329171983319,"cm^2/g","Santiria apiculata"
"80","SANTAP04","SANTAP",132.326225034896,134.896673737639,"cm^2/g","Santiria apiculata"
"81","SHORCU01","SHORCU",112.46077992548,113.144756961446,"cm^2/g","Shorea curtisii"
"82","SHORCU02","SHORCU",129.164780782147,129.938921746711,"cm^2/g","Shorea curtisii"
"83","SHORCU03","SHORCU",142.175284574835,143.086908037262,"cm^2/g","Shorea curtisii"
"84","SHORCU04","SHORCU",142.964043607793,143.680105009132,"cm^2/g","Shorea curtisii"
"85","SHORCU05","SHORCU",102.06158609419,102.826239476543,"cm^2/g","Shorea curtisii"
"86","STREEL04","STREEL",137.590386482369,137.934199913535,"cm^2/g","Streblus elongatus"
"87","STREEL05","STREEL",165.046155623177,165.384291123655,"cm^2/g","Streblus elongatus"
"88","STREEL06","STREEL",168.425835792688,168.834335918231,"cm^2/g","Streblus elongatus"
"89","STREEL07","STREEL",209.567648191479,209.925995266435,"cm^2/g","Streblus elongatus"
"90","STROCE01","STROCE",103.387470298072,103.732746362633,"cm^2/g","Strombosia ceylanica"
"91","STROCE02","STROCE",111.668790815531,112.048736361759,"cm^2/g","Strombosia ceylanica"
"92","STROCE03","STROCE",112.345216041345,112.742243461238,"cm^2/g","Strombosia ceylanica"
"93","STROCE04","STROCE",110.146024456981,110.411136400589,"cm^2/g","Strombosia ceylanica"
"94","STROCE05","STROCE",109.994022774062,110.303800100875,"cm^2/g","Strombosia ceylanica"
