"","ID","sp","TWD","unit","species"
"1","ARDICO02","ARDICO",0.640358527131783,"g/cm^3","Ardisia colorata"
"2","ARDICO06","ARDICO",0.669040920716112,"g/cm^3","Ardisia colorata"
"3","ARDICO07","ARDICO",0.582064128256513,"g/cm^3","Ardisia colorata"
"4","BACCSU01","BACCSU",0.68638956805216,"g/cm^3","Baccaurea sumatrana"
"5","BACCSU02","BACCSU",0.676434494732004,"g/cm^3","Baccaurea sumatrana"
"6","CALOBM02","CALOBM",0.771622536921691,"g/cm^3","Calophyllum ferrugineum"
"7","CALOBM03","CALOBM",0.835912965455361,"g/cm^3","Calophyllum ferrugineum"
"8","CALOBM04","CALOBM",0.793388157894737,"g/cm^3","Calophyllum ferrugineum"
"9","CALOBM05","CALOBM",0.727200358434308,"g/cm^3","Calophyllum ferrugineum"
"10","CALOPC01","CALOPC",0.744051026757934,"g/cm^3","Calophyllum pulcherrimum"
"11","CALOPC02","CALOPC",0.644142928535732,"g/cm^3","Calophyllum pulcherrimum"
"12","CALOPC04","CALOPC",0.76281779661017,"g/cm^3","Calophyllum pulcherrimum"
"13","CALOPC05","CALOPC",0.69505016722408,"g/cm^3","Calophyllum pulcherrimum"
"14","CALOPC06","CALOPC",0.701545675692613,"g/cm^3","Calophyllum pulcherrimum"
"15","CANAPA04","CANAPA",0.55830258302583,"g/cm^3","Canarium patentinervium"
"16","DACRRO07","DACRRO",0.590022637238257,"g/cm^3","Dacryodes rostrata"
"17","DIOSLA02","DIOSLA",0.569845132743363,"g/cm^3","Diospyros lanceifolia"
"18","GIROPA01","GIROPA",0.67580922595778,"g/cm^3","Gironniera parvifolia"
"19","GIROPA02","GIROPA",0.671730648206419,"g/cm^3","Gironniera parvifolia"
"20","GIROPA03","GIROPA",0.74004222972973,"g/cm^3","Gironniera parvifolia"
"21","GIROPA04","GIROPA",0.603037779491133,"g/cm^3","Gironniera parvifolia"
"22","GIROPA05","GIROPA",0.650252270433905,"g/cm^3","Gironniera parvifolia"
"23","GLUTWA01","GLUTWA",0.63361182136729,"g/cm^3","Gluta wallichii"
"24","GLUTWA02","GLUTWA",0.632282333051564,"g/cm^3","Gluta wallichii"
"25","GLUTWA03","GLUTWA",0.549481460023175,"g/cm^3","Gluta wallichii"
"26","GOM1QU01","GOM1QU",0.71901768172888,"g/cm^3","Gomphandra quadrifida"
"27","GOM1QU02","GOM1QU",0.620666666666667,"g/cm^3","Gomphandra quadrifida"
"28","GONYMA01","GONYMA",0.743768041237113,"g/cm^3","Gonystylus confusus"
"29","GONYMA02","GONYMA",0.642231736070283,"g/cm^3","Gonystylus confusus"
"30","GONYMA03","GONYMA",0.690154100165107,"g/cm^3","Gonystylus confusus"
"31","GONYMA04","GONYMA",0.564557069846678,"g/cm^3","Gonystylus confusus"
"32","GONYMA05","GONYMA",0.689853264856933,"g/cm^3","Gonystylus confusus"
"33","GYNOAX01","GYNOAX",0.717821567778259,"g/cm^3","Gynotroches axillaris"
"34","GYNOAX02","GYNOAX",0.673617424242424,"g/cm^3","Gynotroches axillaris"
"35","GYNOAX03","GYNOAX",0.698856812933025,"g/cm^3","Gynotroches axillaris"
"36","GYNOAX04","GYNOAX",0.639969683120049,"g/cm^3","Gynotroches axillaris"
"37","GYNOAX05","GYNOAX",0.696529187817259,"g/cm^3","Gynotroches axillaris"
"38","GYNOAX06","GYNOAX",0.696764705882353,"g/cm^3","Gynotroches axillaris"
"39","LITSAC01","LITSAC",0.682639019792649,"g/cm^3","Litsea accedens"
"40","LITSAC05","LITSAC",0.594632258064516,"g/cm^3","Litsea accedens"
"41","LITSAC07","LITSAC",0.607040878584503,"g/cm^3","Litsea accedens"
"42","PALAKI01","PALAKI",0.623483226266952,"g/cm^3","Madhuca kingiana"
"43","PALAKI02","PALAKI",0.627163763066202,"g/cm^3","Madhuca kingiana"
"44","PALAKI03","PALAKI",0.636695205479452,"g/cm^3","Madhuca kingiana"
"45","PALAKI04","PALAKI",0.691028433151845,"g/cm^3","Madhuca kingiana"
"46","PALAKI05","PALAKI",0.64813025210084,"g/cm^3","Madhuca kingiana"
"47","PIMEGR01","PIMEGR",0.544386664510565,"g/cm^3","Pimelodendron griffithianum"
"48","PIMEGR02","PIMEGR",0.547669270833333,"g/cm^3","Pimelodendron griffithianum"
"49","PIMEGR03","PIMEGR",0.540342391304348,"g/cm^3","Pimelodendron griffithianum"
"50","PIMEGR04","PIMEGR",0.604332220367279,"g/cm^3","Pimelodendron griffithianum"
