"","sp","ID","K","P","N","C","H","S","unit","species"
"1","CALOPC","CALOPC02",0.44695348932701,0.0248038390492719,1.28557825088501,48.5971641540527,6.08253288269043,0.0842432603240013,"% w/w","Calophyllum pulcherrimum"
"2","CALOPC","CALOPC01",0.178382872523729,0.0284981101513798,1.27462804317474,49.9133605957031,6.05381917953491,0,"% w/w","Calophyllum pulcherrimum"
"3","CALOPC","CALOPC04",0.386845388952996,0.0377209522919976,1.33923554420471,49.0994415283203,6.04217910766602,0,"% w/w","Calophyllum pulcherrimum"
"4","CALOBM","CALOBM01",0.376383776465282,0.0254266940914561,1.21733522415161,47.2940559387207,6.1847882270813,0,"% w/w","Calophyllum ferrugineum"
"5","CALOBM","CALOBM02",0.320324953833367,0.0166923814609379,0.974095225334167,46.5592079162598,6.04106187820435,0,"% w/w","Calophyllum ferrugineum"
"6","CALOBM","CALOBM03",0.440347715965314,0.0284160075994312,1.08131837844849,46.8485908508301,6.01040172576904,0,"% w/w","Calophyllum ferrugineum"
"7","CALOBM","CALOBM04",0.282531251575726,0.025816781554488,1.02974724769592,46.3452262878418,5.83897590637207,0,"% w/w","Calophyllum ferrugineum"
"8","CALOBM","CALOBM05",0.326840962707845,0.0254024461192815,1.00755679607391,47.1738624572754,6.08560991287231,0,"% w/w","Calophyllum ferrugineum"
"9","CANAPA","CANAPA01",0.652897734194882,0.0699009060368426,1.69652676582336,46.2075538635254,5.6239743232727,0,"% w/w","Canarium patentinervium"
"10","CANAPA","CANAPA02",0.50406968923541,0.0603705717095682,1.63395929336548,46.5493087768555,5.53819704055786,0.075767993927002,"% w/w","Canarium patentinervium"
"11","DACRRO","DACRRO03",0.573889961104831,0.0404893466073997,1.49108171463013,41.6703224182129,5.08345365524292,0.0617517754435539,"% w/w","Dacryodes rostrata"
"12","DACRRO","DACRRO04",0.89440486218831,0.0449616251743999,1.52768349647522,43.341381072998,5.15663146972656,0,"% w/w","Dacryodes rostrata"
"13","DACRRO","DACRRO06",0.66518162262988,0.0666489106032398,1.59500110149384,38.482177734375,4.92362976074219,0,"% w/w","Dacryodes rostrata"
"14","DACRRO","DACRRO07",0.694549101853742,0.0442631814107411,1.54399085044861,40.7896919250488,5.14684009552002,0.0877586826682091,"% w/w","Dacryodes rostrata"
"15","DACRRO","DACRRO08",0.520722904136007,0.0489858707798527,1.45869302749634,42.3603324890137,5.11307382583618,0,"% w/w","Dacryodes rostrata"
"16","LITSAC","LITSAC06",0.976672201985557,0.0551565421871319,2.02951884269714,45.7509155273438,6.25970077514648,0.208137601613998,"% w/w","Litsea accedens"
"17","GIROPA","GIROPA05",0.41874864059896,0.0375242361622141,2.45942330360413,40.236873626709,5.2294659614563,0,"% w/w","Gironniera parvifolia"
"18","CALOPC","CALOPC05",0.226815727510303,0.0302903045855866,1.41616070270538,49.5904922485352,6.63166570663452,0,"% w/w","Calophyllum pulcherrimum"
"19","CALOPC","CALOPC06",0.23825596106139,0.0263649794810922,1.4125007390976,49.21630859375,6.42007207870483,0,"% w/w","Calophyllum pulcherrimum"
"20","PALAKI","PALAKI01",1.0987377711564,0.0447104038502712,1.68719720840454,46.6683464050293,5.46528625488281,0.214868247509003,"% w/w","Madhuca kingiana"
"21","PALAKI","PALAKI02",1.13973676556768,0.0460689715203593,1.36032116413116,48.0639610290527,5.71386051177979,0.0619021132588387,"% w/w","Madhuca kingiana"
"22","PALAKI","PALAKI03",1.15667372701589,0.0309378076927471,1.63330090045929,45.2113952636719,5.54082155227661,0.325103968381882,"% w/w","Madhuca kingiana"
"23","GOM1QU","GOM1QU01",0.434115772375347,0.0604696187451803,3.23850584030151,37.322021484375,5.47423505783081,0.479439198970795,"% w/w","Gomphandra quadrifida"
"24","GOM1QU","GOM1QU02",1.54820823891101,0.0452903644101229,3.42699718475342,45.4616584777832,6.32165193557739,0.0825832411646843,"% w/w","Gomphandra quadrifida"
"25","LITSAC","LITSAC01",1.0352211204592,0.0918187474615291,1.98717188835144,46.241641998291,6.42907333374023,0.137019321322441,"% w/w","Litsea accedens"
"26","LITSAC","LITSAC02",1.39873394926873,0.059827123242197,2.26094627380371,46.9479560852051,6.38644981384277,0.330627113580704,"% w/w","Litsea accedens"
"27","ARDICO","ARDICO02",0.871533016909122,0.0601808359413837,1.56990683078766,47.1846733093262,5.79459619522095,0,"% w/w","Ardisia colorata"
"28","ARDICO","ARDICO03",1.27819026130318,0.0439601615485803,1.72179782390594,45.2729110717773,5.6250433921814,0,"% w/w","Ardisia colorata"
"29","ARDICO","ARDICO04",1.52032403645093,0.0436824631079706,1.94944834709167,46.4004936218262,5.51489925384521,0,"% w/w","Ardisia colorata"
"30","ARDICO","ARDICO05",0.967671326750108,0.037794668629743,1.60909152030945,47.1452484130859,5.56199645996094,0,"% w/w","Ardisia colorata"
"31","ARDICO","ARDICO06",1.00915811997289,0.0416811578000157,1.97852981090546,45.1226272583008,5.47245264053345,0,"% w/w","Ardisia colorata"
"32","STROCE","STROCE01",0.591641567357388,0.052040034038373,2.46305131912231,48.4854354858398,6.2575511932373,0.665263056755066,"% w/w","Strombosia ceylanica"
"33","STROCE","STROCE02",0.617701365698408,0.0414125381779687,2.36191320419312,50.3064956665039,6.20591974258423,0.671348750591278,"% w/w","Strombosia ceylanica"
"34","STROCE","STROCE03",0.440576626780306,0.0324385422224451,2.23669934272766,48.6683921813965,6.23481178283691,0.340669542551041,"% w/w","Strombosia ceylanica"
"35","STROCE","STROCE04",0.691708623794794,0.0572755095444563,2.2714512348175,49.0740089416504,5.98783683776855,0.478355497121811,"% w/w","Strombosia ceylanica"
"36","STROCE","STROCE05",0.570212025122618,0.0538762538226858,2.59830355644226,49.643138885498,6.38979244232178,0.603283166885376,"% w/w","Strombosia ceylanica"
"37","ARDITY","ARDITY01",1.29158528386145,0.055250303207584,2.18372654914856,53.2623481750488,6.51906776428223,0,"% w/w","Ardisia teysmanniana"
"38","ARDITY","ARDITY02",1.32382464868861,0.0572912079847066,2.27220153808594,50.8614730834961,6.49063444137573,0,"% w/w","Ardisia teysmanniana"
"39","ARDITY","ARDITY03",1.45296086090029,0.0608027952096837,2.01286268234253,51.0406875610352,6.4651689529419,0,"% w/w","Ardisia teysmanniana"
"40","ARDITY","ARDITY04",1.30417090298292,0.0517233687149061,2.05747890472412,52.6593055725098,6.60847187042236,0,"% w/w","Ardisia teysmanniana"
"41","ARDITY","ARDITY05",1.39650592236518,0.0500824594375634,1.80957531929016,52.3926963806152,6.66895914077759,0,"% w/w","Ardisia teysmanniana"
"42","SHORCU","SHORCU01",0.564755028494563,0.0454075489744424,1.67400825023651,48.3132972717285,5.91681003570557,0.0930178165435791,"% w/w","Shorea curtisii"
"43","SHORCU","SHORCU02",0.465977874671656,0.0370618706596828,1.59984695911407,50.1989440917969,5.97032451629639,0,"% w/w","Shorea curtisii"
"44","SHORCU","SHORCU03",0.470994555848269,0.0384410286111781,1.84101045131683,49.0983238220215,5.7367696762085,0.097859188914299,"% w/w","Shorea curtisii"
"45","SHORCU","SHORCU04",0.451793099670697,0.0310126398908274,1.76172173023224,49.7487449645996,6.28919506072998,0.0806901454925537,"% w/w","Shorea curtisii"
"46","SHORCU","SHORCU05",0.51310776707926,0.0444678508131693,1.64107608795166,49.5416679382324,5.99950075149536,0.0895670726895332,"% w/w","Shorea curtisii"
"47","CANAPA","CANAPA03",0.522704506605779,0.0695463323654067,2.01210260391235,45.8147087097168,5.59447431564331,0.090521328151226,"% w/w","Canarium patentinervium"
"48","CANAPA","CANAPA04",0.533118372719712,0.07353568444216,1.89474594593048,46.9124603271484,5.43674468994141,0,"% w/w","Canarium patentinervium"
"49","DIOSLA","DIOSLA01",1.19776752243723,0.0536656227298461,2.52580499649048,48.2476921081543,6.58322620391846,0.224451795220375,"% w/w","Diospyros lanceifolia"
"50","DIOSLA","DIOSLA02",0.594323573023727,0.0544773479424979,1.8840115070343,49.7310028076172,6.74208831787109,0.102161824703217,"% w/w","Diospyros lanceifolia"
"51","GLUTWA","GLUTWA01",0.53075054502173,0.0636975311552106,1.83633410930634,44.5451812744141,5.57252216339111,0.105623587965965,"% w/w","Gluta wallichii"
"52","GLUTWA","GLUTWA02",0.461678939368467,0.0666200623705556,2.58189058303833,44.3382301330566,5.87945365905762,0.0860150381922722,"% w/w","Gluta wallichii"
"53","GLUTWA","GLUTWA03",0.543993876996232,0.0763089559571355,2.37974858283997,44.1949996948242,5.86504316329956,0,"% w/w","Gluta wallichii"
"54","BACCSU","BACCSU01",0.8322092081523,0.0404917486305706,1.8320072889328,41.2012519836426,5.78822326660156,0,"% w/w","Baccaurea sumatrana"
"55","BACCSU","BACCSU02",0.478037290234471,0.0395498531584912,1.8202223777771,41.436695098877,5.97739744186401,0.0863356813788414,"% w/w","Baccaurea sumatrana"
"56","BACCSU","BACCSU03",0.48918961324942,0.032129582024354,1.70336222648621,41.1341819763184,6.01492500305176,0,"% w/w","Baccaurea sumatrana"
"57","PALAKI","PALAKI04",0.97790762142519,0.040641614550194,1.71740818023682,47.1437568664551,5.73323583602905,0.197046101093292,"% w/w","Madhuca kingiana"
"58","PALAKI","PALAKI05",1.05807710785155,0.0387127646889295,1.68646109104156,45.6821899414062,5.45573091506958,0.244634434580803,"% w/w","Madhuca kingiana"
"59","SANTAP","SANTAP01",1.10493990738651,0.0761217246977078,2.34495139122009,47.6646690368652,5.81029558181763,0.126005977392197,"% w/w","Santiria apiculata"
"60","SANTAP","SANTAP02",1.17743399741578,0.114048471029217,2.4322566986084,47.6784477233887,5.59994840621948,0.13110776245594,"% w/w","Santiria apiculata"
"61","SANTAP","SANTAP03",1.33935726906077,0.0795996800890397,2.3490879535675,48.2281379699707,5.74605369567871,0,"% w/w","Santiria apiculata"
"62","SANTAP","SANTAP04",1.29836909272236,0.0729510234136893,2.10796093940735,43.6156730651855,5.69746685028076,0.192260950803757,"% w/w","Santiria apiculata"
"63","LITSAC","LITSAC07",1.46890222750536,0.0671525040400686,2.32598209381104,45.7704315185547,6.22036457061768,0.21660803258419,"% w/w","Litsea accedens"
"64","LITSAC","LITSAC03",1.10887533987616,0.0710626508728788,2.44595384597778,46.3654975891113,6.30934810638428,0.226815804839134,"% w/w","Litsea accedens"
"65","STREEL","STREEL02",1.66946749147073,0.0885344559194019,2.39120173454285,42.7621116638184,5.44898366928101,0,"% w/w","Streblus elongatus"
"66","STREEL","STREEL04",1.5403954788062,0.109204491427628,2.71617484092712,43.9637298583984,5.58167219161987,0,"% w/w","Streblus elongatus"
"67","STREEL","STREEL05",1.72523964795341,0.0799063468950392,2.62665295600891,42.447811126709,5.45061635971069,0,"% w/w","Streblus elongatus"
"68","STREEL","STREEL06",1.52987997192744,0.10681624543913,2.69441246986389,41.0651741027832,5.53990888595581,0,"% w/w","Streblus elongatus"
"69","STREEL","STREEL07",2.41854684030797,0.101538058515306,2.35455703735352,43.3995628356934,5.89023303985596,0,"% w/w","Streblus elongatus"
"70","GYNOAX","GYNOAX01",0.78053211299408,0.0496502064515222,1.87883579730988,43.5552520751953,5.7090015411377,0.214726805686951,"% w/w","Gynotroches axillaris"
"71","GYNOAX","GYNOAX02",0.712345209498566,0.0577887949675398,2.19155621528625,43.0961151123047,5.61945486068726,0.269096165895462,"% w/w","Gynotroches axillaris"
"72","GYNOAX","GYNOAX03",0.69950818760094,0.0656063258522267,2.08893847465515,44.0261001586914,5.56962299346924,0.252979636192322,"% w/w","Gynotroches axillaris"
"73","GYNOAX","GYNOAX05",1.07488008845086,0.0644845097666087,2.24845767021179,45.2526359558105,5.93826055526733,0.224523097276688,"% w/w","Gynotroches axillaris"
"74","GYNOAX","GYNOAX06",0.854775770651949,0.069147215261284,2.33526206016541,45.625,6.09350109100342,0.21215133368969,"% w/w","Gynotroches axillaris"
"75","GONYMA","GONYMA01",0.649672435170927,0.0604565389689719,1.76590764522552,52.4191856384277,6.57617378234863,0,"% w/w","Gonystylus confusus"
"76","GONYMA","GONYMA02",0.718550209780929,0.0525226975602717,1.69470822811127,53.0509757995605,6.79595899581909,0,"% w/w","Gonystylus confusus"
"77","GONYMA","GONYMA03",1.25145445985414,0.0946573994737176,1.8448520898819,50.5705070495605,6.95932197570801,0,"% w/w","Gonystylus confusus"
"78","GONYMA","GONYMA04",0.717805196204162,0.0615381413855383,1.8515750169754,52.6525115966797,6.92902088165283,0,"% w/w","Gonystylus confusus"
