Full Names with Authors,plant_growth_form
Abacopteris repanda (Fée) S.E.Fawc. & A.R.Sm.,herb
Abelmoschus esculentus (L.) Moench,shrub
Abelmoschus moschatus Medik.,herb
Abrodictyum obscurum (Blume) Ebihara & K.Iwats.,herb
Abrus precatorius L.,climber
Abutilon indicum (L.) Sweet,shrub
Abutilon pictum (Gillies ex Hook. & Arn.) Walp.,shrub
Acacia x_mangiiformis Maslin & L.A.J.Thomson,tree
Acacia auriculiformis A.Cunn. ex Benth.,tree
Acacia cincinnata F.Muell.,tree
Acacia confusa Merr.,tree
Acacia holosericea A.Cunn. ex G.Don,tree
Acacia mangium Willd.,tree
Acalypha arvensis Poepp.,tree
Acalypha chamaedrifolia (Lam.) Müll.Arg.,shrub
Acalypha hispida Burm.f.,shrub
Acalypha indica L.,herb
Acalypha lanceolata Willd.,herb
Acalypha siamensis Oliv. ex Gage,shrub
Acalypha variegata Rusby,shrub
Acalypha wilkesiana Müll.Arg.,shrub
Acanthospermum australe (Loefl.) Kuntze,herb
Acanthus ebracteatus Vahl,shrub
Acanthus ilicifolius L.,shrub
Acanthus volubilis Nees,shrub
Acer palmatum Thunb.,tree
Achetaria azurea (Linden) V.C.Souza,herb
Achyranthes aspera L.,herb
Acmella uliginosa (Sw.) Cass.,herb
Acoelorraphe wrightii (Griseb. & H.Wendl.) H.Wendl. ex Becc.,shrub
Acorus gramineus Aiton,herb
Acriopsis liliifolia (J.Koenig) Ormerod,epiphyte
Acriopsis ridleyi Hook.f.,epiphyte
Acroceras munroanum (Balansa) Henrard,herb
Acrostichum aureum L.,herb
Acrostichum speciosum Willd.,herb
Actinodaphne glomerata (Blume) Nees,tree
Actinodaphne maingayi Hook.f.,tree
Actinodaphne malaccensis Hook.f.,tree
Actinodaphne pruinosa Nees,tree
Actinorhytis calapparia (Blume) H.Wendl. & Drude ex Scheff.,tree
Actinoscirpus grossus (L.f.) Goetgh. & D.A.Simpson,herb
Actinostachys digitata (L.) Wall.,herb
Actinostachys wagneri (Selling) C.F.Reed,herb
Adansonia digitata L.,tree
Adenanthera malayana Kosterm.,tree
Adenanthera malayana Kosterm. subsp. malayana,tree
Adenanthera pavonina L.,tree
Adenia macrophylla (Blume) Koord. var. singaporiana (Wall. ex G.Don) W.J.de Wilde,climber
Adenium obesum (Forssk.) Roem. & Schult.,shrub
Adenoncos major Ridl.,epiphyte
Adenoncos sumatrana J.J.Sm.,epiphyte
Adenosma indiana (Lour.) Merr.,herb
Adenosma inopinata Prain,herb
Adenosma javanica (Blume) Koord.,herb
Adenostemma viscosum J.R.Forst. & G.Forst.,herb
Adiantum flabellulatum L.,herb
Adiantum hispidulum Sw.,herb
Adiantum latifolium Lam.,herb
Adiantum pulverulentum L.,herb
Adiantum raddianum C.Presl,herb
Adiantum stenochlamys Baker,herb
Adiantum trapeziforme L.,herb
Adina eurhyncha (Miq.) Å.Krüger & Löfstrand,tree
Adinandra acuminata Korth.,tree
Adinandra dumosa Jack,tree
Adinandra integerrima T.Anderson ex Dyer,tree
Adinobotrys atropurpureus (Wall.) Dunn,tree
Adonidia merrillii (Becc.) Becc.,tree
Aechmea chantinii (Carrière) Baker,shrub
Aechmea fasciata (Lindl.) Baker,shrub
Aechmea fulgens Brongn.,shrub
Aegiceras corniculatum (L.) Blanco,tree
Aegle marmelos (L.) Corrêa,tree
Aeridostachya robusta (Blume) Brieger,epiphyte
Aeschynanthus albidus (Blume) Steud.,epiphyte
Aeschynanthus pulcher (Blume) G.Don,epiphyte
Aeschynanthus radicans Jack,epiphyte
Aeschynanthus speciosus Hook.,climber
Aeschynanthus wallichii R.Br.,climber
Aeschynomene americana L.,herb
Aeschynomene indica L.,herb
Afgekia sericea Craib,climber
Afrocarpus gracilior (Pilg.) C.N.Page,tree
Afzelia quanzensis Welw.,tree
Afzelia xylocarpa (Kurz) Craib,tree
Aganope heptaphylla (L.) Polhill,climber
Aganope thyrsiflora (Benth.) Polhill,climber
Agathis borneensis Warb.,tree
Agathis dammara (Lamb.) Rich. & A.Rich.,tree
Agathis robusta (C.Moore ex F.Muell.) F.M.Bailey,tree
Agave americana L.,shrub
Agave amica (Medik.) Thiede & Govaerts,herb
Agave angustifolia Haw.,shrub
Agave attenuata Salm-Dyck,shrub
Agave tequilana F.A.C.Weber,shrub
Agelaea borneensis (Hook.f.) Merr.,climber
Agelaea macrophylla (Zoll.) Leenh.,climber
Ageratum conyzoides L.,herb
Aglaia crassinervia Kurz ex Hiern,tree
Aglaia cucullata (Roxb.) Pellegr.,tree
Aglaia duperreana Pierre,shrub
Aglaia elaeagnoidea (A.Juss.) Benth.,tree
Aglaia elliptica Blume,tree
Aglaia erythrosperma Pannell,tree
Aglaia exstipulata (Griff.) W.Theob.,tree
Aglaia glabriflora Hiern,tree
Aglaia lawii (Wight) C.J.Saldanha subsp. oligocarpa (Miq.) Pannell,tree
Aglaia macrocarpa (Miq.) Pannell,tree
Aglaia meliosmoides Craib,tree
Aglaia multinervis Pannell,tree
Aglaia odorata Lour.,shrub
Aglaia odoratissima Blume,tree
Aglaia oligophylla Miq.,tree
Aglaia palembanica Miq.,tree
Aglaia rubiginosa (Hiern) Pannell,tree
Aglaia rufinervis (Blume) Bentv.,tree
Aglaia sexipetala Griff.,tree
Aglaia tenuicaulis Hiern,tree
Aglaia tomentosa Teijsm. & Binn.,tree
Aglaonema commutatum Schott,herb
Aglaonema costatum N.E.Br.,herb
Aglaonema griffithii Schott,climber
Aglaonema nebulosum N.E.Br.,herb
Aglaonema nitidum (Jack) Kunth,herb
Aglaonema simplex Blume,herb
Aglaonema tenuipes Engl.,herb
Agrostistachys gaudichaudii Müll.Arg.,tree
Agrostistachys sessilifolia (Kurz) Pax & K.Hoffm.,shrub
