main_ID	accepted name only from POWO or WCSP (not used in Singapore literature)	type var./subsp.	non-type var./subsp.	Species with infraspecific taxa	In Mockup 7Sep2020	Excluded	Parenthetical authors	Infraspecific taxon	Issues with Full Names with Authors	XinYi	Reuben	Full Names with Authors	name_ID	Leipzig Cat. Vasc. Pl. (1)	Leipzig Cat. Vasc. Pl. (2)	Accepted data source (for Full Name & Author(s))	IPNI	Priority	DJM to check before IPNI	Corrections for Kew	Notes for Kew	Temp_Basionym info for IPNI	IPNI_url	Conflicting Names Data	Issues to resolve (137)	FoS	FoS manuscripts received (author)	Full Name without Authors	Division	Class	Order	Family (Current)	Native	Excluded (Reason)	status_as_sp	status_synrefs_ID	status_synrefs_ID_Ref	status_synrefs_ID_IDandRef	Recent status changes still to reflect in synrefs (& update in FoS manuscripts)	Old status_synrefs_IDandRef(Nov2021)	Very old status_synrefs_IDandRef(Sep2020)	Status in mockup 7 Sep2020	change since mockup	Status (2022)	match	Status in Checklist ms as sent to Printer 4 April 2022	Order in Checklist ms as sent to Printer 4 April 2022	Full status in Checklist ms as sent to Printer 4 April 2022	Status change reason	Historical Casuals	Stu_TempStatus	c. 480 Status changes 2009-2020	Reason for status change 2009-2020	c. 70 Status changes 2008-2009	Chong et al. (2009)	RDB (2008)	Cultivated	Habit	Hybrid	Synonyms in Synrefs	Notes (for admin.)	ys edits	ys refs	other contributor's edits	IPNI_ID	OLD_Selected Synonyms	OLD_Synonyms in synrefs	Status (2022) (COPY)	main_IDof infraspecific groups	stu27	type var./subsp.	non-type var./subsp.	sort	StuA	StuB
128					yes		yes	no				Abacopteris repanda (Fée) S.E.Fawc. & A.R.Sm.	1		LCVP says accepted name is Cyclosorus repandus (Fée) B.K.Nayar & S.Kaur									POWO says Pronephrium repandum (Fée) Holttum is a synonym of Thelypteris repanda (Fée) C.V.Morton		yes		Abacopteris repanda	Monilophyta	Polypodiopsida	Polypodiales	Thelypteridaceae	yes			45746	assessed here	45746 - assessed here			28121 - Chong et al. (2009)	"Native; LC (Chong et al., 2009)."	yes	Endangered	Yes	Endangered	571	Native; EN (assessed here).	"Changed from VU to EN // Only 3 specimens at SING collected in last 40 years (all from BTNR, plus a few old collections from Bukit Timah and Mandai) and about 7 specimens from BTNR at SINU. The most recent collection at SINU was collected in 1960. This species not currently known outside BTNR."		check if really LC. Only 3 collections at SING in last 40 years.				Common	"(not listed because ""Common"")"	no	herb		Abacopteris urophylla (Mett.) Ching; Cyclosorus urophyllus (Mett.) Tardieu; Nephrodium moulmeinense auct. non Bedd.; Nephrodium urophyllum (Mett.) Keyserl.; Pronephrium repandum (Fée) Holttum					urn:lsid:ipni.org:names:17451930-1		Abacopteris urophylla (Mett.) Ching; Cyclosorus urophyllus (Mett.) Tardieu; Nephrodium moulmeinense auct. non Bedd.; Nephrodium urophyllum (Mett.) Keyserl.	Vulnerable						11	17
3116					no	Excluded (Cultivated Only)	yes	no				Abelmoschus esculentus (L.) Moench	9	ok	Name and authors accepted by LCVP	IPNI (= POWO)	x	2			n/a		https://www.ipni.org/n/558006-1					Abelmoschus esculentus	Spermatophyta	Magnoliopsida	Malvales	Malvaceae	no	Reported as escaping by Kuntze (1891) and implied as escaped by Kaw & Neo (2018)		4	Chong et al. (2009)	4 - Chong et al. (2009)				Not in mockup (because Cultivated Only)	n/a	Excluded (Cultivated Only)	Yes	In Excluded section of Checklist ms as this and as synonym Hibiscus esculentus L.			Reported as escaping by Kuntze						Cultivated Only		yes	shrub		Hibiscus esculentus L.					urn:lsid:ipni.org:names:558006-1	Hibiscus esculentus L.	Hibiscus esculentus L.	Cultivated Only						4	5
1405					yes		no	no				Abelmoschus moschatus Medik.	10	ok	Name and authors accepted by LCVP	IPNI (= POWO)	x	1			n/a	replacement name for Hibiscus abelmoschus L.	https://www.ipni.org/n/558023-1			yes		Abelmoschus moschatus	Spermatophyta	Magnoliopsida	Malvales	Malvaceae	no			6	Chong et al. (2009)	6 - Chong et al. (2009)				"Non-native; casual (Chong et al., 2009)."	no	Casual	Yes	Casual	2167	"Non-native, casual (Chong et al., 2009)."							Casual		yes	herb		Hibiscus abelmoschus L.					urn:lsid:ipni.org:names:558023-1	Hibiscus abelmoschus L.	Hibiscus abelmoschus L.	Casual						6	8
176					yes		yes	no		VU > EN		Abrodictyum obscurum (Blume) Ebihara & K.Iwats.	11		Abrodictyum obscurum is accepted name in LCVP	IPNI (= POWO)	x	1			n/a		https://www.ipni.org/n/17516500-1	FM manuscript and FoC recognises 2 vars. of Abrodictyum obscurum Blume: var. obscurum & var. siamensis. But POWO recognises no vars. and treats each as separate species in Trichomanes: Trichomanes obscurum Blume & Trichomanes siamense Christ. siamense has not been reported from Singapore but has perhaps not been looked for. FoS is likely to list as Abrodictyum obscurum Blume var. obscurum. The key to vars. in Fm and FoS uses ery different characters.		yes		Abrodictyum obscurum	Monilophyta	Polypodiopsida	Hymenophyllales	Hymenophyllaceae	yes			45495	assessed here	45495 - assessed here			6607 - Wong et al. (2013)	"Native; EN (Wong et al., 2013)."	yes	Vulnerable	Yes	Vulnerable	442	Native; VU (assessed here).	Estimated 250-1000 plants in Singapore		Vulnerable? The most frequently encountered Hymenophyllaceae nowadays.				Endangered	Endangered	no	herb		Cephalomanes obscurum (Blume) K.Iwats.; Selenodesmium obscurum (Blume) Copel.; Trichomanes cupressoides auct. non Desv.; Trichomanes foeniculaceum auct. non Willd.; Trichomanes maximum auct. non Blume; Trichomanes obscurum Blume; Trichomanes parviflorum auct. non Poir.; Trichomanes rigidum auct. non Sw.; Trichomanes setaceum auct. non Bosch					urn:lsid:ipni.org:names:17516500-1	Trichomanes obscurum Blume; Selenodesmium obscurum (Blume) Copel.; Trichomanes rigidum auct. non Sw.; Trichomanes cupressoides auct. non Desv.; Cephalomanes obscurum (Blume) K.Iwats.; Trichomanes maximum auct. non Blume; Trichomanes setaceum auct. non Bosch	Cephalomanes obscurum (Blume) K.Iwats.; Selenodesmium obscurum (Blume) Copel.; Trichomanes cupressoides auct. non Desv.; Trichomanes maximum auct. non Blume; Trichomanes obscurum Blume; Trichomanes rigidum auct. non Sw.; Trichomanes setaceum auct. non Bosch	Vulnerable						2	30
4322					yes		yes	no				Abroma augustum (L.) L.f.	12		"LCVP spells epithet as ""augusta"""	IPNI (= POWO)	x	1			n/a	Theobroma augustum L. -- urn:lsid:ipni.org:names:825562-1	https://www.ipni.org/n/822006-1			yes		Abroma augustum	Spermatophyta	Magnoliopsida	Malvales	Malvaceae	no			11	Chen et al. (2018)	11 - Chen et al. (2018)				"Non-native; casual (Chen et al., 2018)."	no	Casual	Yes	Casual	2168	"Non-native, casual (Chen et al., 2018)."												None					urn:lsid:ipni.org:names:822006-1		none	Casual						1	1
1247					yes		no	no				Abrus precatorius L.	13	ok	Name and authors accepted by LCVP	IPNI (= POWO)	x	1			n/a		https://www.ipni.org/n/469605-1			yes		Abrus precatorius	Spermatophyta	Magnoliopsida	Fabales	Fabaceae	no			12	Chong et al. (2009)	12 - Chong et al. (2009)				"Non-native; naturalised (Chong et al., 2009)."	no	Naturalised	Yes	Naturalised	1719	"Non-native, naturalised (Chong et al., 2009)."							Naturalised		yes	climber		None					urn:lsid:ipni.org:names:469605-1		none	Naturalised						10	10
1406					yes		yes	no				Abutilon indicum (L.) Sweet	14	ok	Name and authors accepted by LCVP	IPNI (= POWO)	x	1			n/a	Sida indica L. -- urn:lsid:ipni.org:names:323483-2	https://www.ipni.org/n/1101632-2			yes		Abutilon indicum	Spermatophyta	Magnoliopsida	Malvales	Malvaceae	yes			45804	assessed here	45804 - assessed here			21 - Chong et al. (2009)	"Cryptogenic (Chong et al., 2009)."	yes	Extinct	Yes	Extinct	2169	Native; NEx (assessed here).	reassessed as native and nationally extinct		reassessed as native and nationally extinct				Weed of Uncertain Origin		yes	shrub		None					urn:lsid:ipni.org:names:1101632-2		none	Extinct						12	12
3117					no		yes	no				Abutilon pictum (Gillies ex Hook. & Arn.) Walp.	15		Name and/or authors not accepted by LCVP	IPNI (= POWO)	x	2		IMT4 fixed	n/a		https://www.ipni.org/n/1198366-2	POWO says Abutilon pictum (Gillies ex Hook. & Arn.) Walp. is a synonym of Callianthe picta (Gillies ex Hook. & Arn.) Donnell				Abutilon pictum	Spermatophyta	Magnoliopsida	Malvales	Malvaceae	no			30	Chong et al. (2009)	30 - Chong et al. (2009)				Not in mockup (because Cultivated Only)	n/a	Cultivated Only	Yes		Absent from Checklist ms because Cultivated Only								Cultivated Only		yes	shrub		None					urn:lsid:ipni.org:names:1198366-2		none	Cultivated Only						1	1
5163					no		no	no	DJM			Acacia x_mangiiformis Maslin & L.A.J.Thomson	28		Name not in LCVP	IPNI	x	1		RG	Name absent from POWO Dec. 2020		https://www.ipni.org/n/77205231-1		Confirm/clarify assessment then remove pink			Acacia x_mangiiformis	Spermatophyta	Magnoliopsida	Fabales	Fabaceae	no			45480	assessed here	45480 - assessed here					yes	Casual	Yes	Casual	1722	"Non-native, casual (assessed here)."	Will be assessed as casual in a forthcoming paper									tree	yes	None					urn:lsid:ipni.org:names:77205231-1		none	Casual						2	2
1248					yes		no	no				Acacia auriculiformis A.Cunn. ex Benth.	16	ok	Name and authors accepted by LCVP	IPNI (= POWO)	x	1			n/a		https://www.ipni.org/n/469784-1			yes		Acacia auriculiformis	Spermatophyta	Magnoliopsida	Fabales	Fabaceae	no			31	Chong et al. (2009)	31 - Chong et al. (2009)				"Non-native; naturalised (Chong et al., 2009)."	no	Naturalised	Yes	Naturalised	1720	"Non-native, naturalised (Chong et al., 2009)."							Naturalised		yes	tree		None					urn:lsid:ipni.org:names:469784-1		none	Naturalised						19	19
