Dataset1,Dataset2,IID,SID,OrgName,AccName,Trait,OrgVal,n
SG06,NA,ADIDUM1,NA,Adinandra dumosa,NA,Area_mm2,3656.850764452243,10
SG06,NA,ADIDUM1,NA,Adinandra dumosa,NA,LDMC,0.33836142126639285,10
SG06,NA,ADIDUM1,NA,Adinandra dumosa,NA,SLA,12.53603731178103,10
SG06,NA,ADIDUM1,NA,Adinandra dumosa,NA,Th,0.2734,10
SG06,NA,AGLCRE1,NA,Aglaonema 'Crete',NA,Area_mm2,14113.313761489704,5
SG06,NA,AGLCRE1,NA,Aglaonema 'Crete',NA,LDMC,0.12809230737194738,5
SG06,NA,AGLCRE1,NA,Aglaonema 'Crete',NA,SC,85.1,5
SG06,NA,AGLCRE1,NA,Aglaonema 'Crete',NA,SLA,24.765726192387525,5
SG06,NA,AGLCRE1,NA,Aglaonema 'Crete',NA,Th,0.278,5
SG06,NA,AGLCRE2,NA,Aglaonema 'Crete',NA,Area_mm2,10252.819675966082,5
SG06,NA,AGLCRE2,NA,Aglaonema 'Crete',NA,LDMC,0.11477687245362944,5
SG06,NA,AGLCRE2,NA,Aglaonema 'Crete',NA,SC,70.52,5
SG06,NA,AGLCRE2,NA,Aglaonema 'Crete',NA,SLA,27.8883428578537,5
SG06,NA,AGLCRE2,NA,Aglaonema 'Crete',NA,Th,0.2654,5
SG06,NA,AGLCRE3,NA,Aglaonema 'Crete',NA,Area_mm2,10706.582210993463,5
SG06,NA,AGLCRE3,NA,Aglaonema 'Crete',NA,LDMC,0.12239047851702452,5
SG06,NA,AGLCRE3,NA,Aglaonema 'Crete',NA,SC,128.56,5
SG06,NA,AGLCRE3,NA,Aglaonema 'Crete',NA,SLA,25.825878386810338,5
SG06,NA,AGLCRE3,NA,Aglaonema 'Crete',NA,Th,0.2638,5
SG06,NA,AGLCRE4,NA,Aglaonema 'Crete',NA,Area_mm2,8724.330970970836,5
SG06,NA,AGLCRE4,NA,Aglaonema 'Crete',NA,LDMC,0.13345172076118297,5
SG06,NA,AGLCRE4,NA,Aglaonema 'Crete',NA,SC,66.42,5
SG06,NA,AGLCRE4,NA,Aglaonema 'Crete',NA,SLA,25.292209612983445,5
SG06,NA,AGLCRE4,NA,Aglaonema 'Crete',NA,Th,0.2728,5
SG06,NA,AGLCRE5,NA,Aglaonema 'Crete',NA,Area_mm2,11316.94228287214,5
SG06,NA,AGLCRE5,NA,Aglaonema 'Crete',NA,LDMC,0.12256556283590897,5
SG06,NA,AGLCRE5,NA,Aglaonema 'Crete',NA,SC,42.74,5
SG06,NA,AGLCRE5,NA,Aglaonema 'Crete',NA,SLA,25.828238926369004,5
SG06,NA,AGLCRE5,NA,Aglaonema 'Crete',NA,Th,0.284,5
SG06,NA,AGLDUD1,NA,Agalonema dud unyamanee,NA,Area_mm2,10006.97070438158,5
SG06,NA,AGLDUD1,NA,Agalonema dud unyamanee,NA,LDMC,0.13072878400590093,5
SG06,NA,AGLDUD1,NA,Agalonema dud unyamanee,NA,SC,60.82,5
SG06,NA,AGLDUD1,NA,Agalonema dud unyamanee,NA,SLA,26.321928128898943,5
SG06,NA,AGLDUD1,NA,Agalonema dud unyamanee,NA,Th,0.2622,5
SG06,NA,AGLDUD2,NA,Agalonema dud unyamanee,NA,Area_mm2,7978.467226941833,5
