species,trait_name,value
Alstonia pneumatophora,Al_sen,5.8182
Alstonia pneumatophora,Ca_sen,16201.707
Alstonia pneumatophora,Mg_sen,1821.6732
Alstonia pneumatophora,K_sen,2079.0372
Alstonia pneumatophora,Fe_sen,51.3961
Alstonia pneumatophora,Mn_sen,47.8254
Alstonia pneumatophora,P_sen,313.4534
Alstonia pneumatophora,C_sen,48.12
Alstonia pneumatophora,N_sen,0.81
Archidendron clypearia,Al_sen,57.7544
Archidendron clypearia,Ca_sen,4069.1543
Archidendron clypearia,Mg_sen,840.1926
Archidendron clypearia,K_sen,3178.3254
Archidendron clypearia,Fe_sen,99.3479
Archidendron clypearia,Mn_sen,116.7079
Archidendron clypearia,P_sen,160.8003
Archidendron clypearia,Al_fre,29.99097824
Archidendron clypearia,Ca_fre,2442.11595
Archidendron clypearia,Mg_fre,1066.914948
Archidendron clypearia,K_fre,6361.812204
Archidendron clypearia,Fe_fre,48.21708901
Archidendron clypearia,Mn_fre,52.05164308
Archidendron clypearia,P_fre,621.3658613
Archidendron clypearia,C_sen,51.29
Archidendron clypearia,N_sen,1.686666667
Archidendron clypearia,C_fre,49.57666667
Archidendron clypearia,N_fre,2.413333333
Archidendron clypearia,SLA,146.0125983
Archidendron clypearia,LDMC,429.5217284
Archidendron clypearia,LT,0.147066667
Archidendron clypearia,dpyr_fre,37.15018182
Archidendron clypearia,dsmo_fre,15.265
Artocarpus kemando,Al_sen,74.9787
Artocarpus kemando,Ca_sen,18005.1326
Artocarpus kemando,Mg_sen,1475.2861
Artocarpus kemando,K_sen,1951.474
Artocarpus kemando,Fe_sen,105.286
Artocarpus kemando,Mn_sen,42.5443
Artocarpus kemando,P_sen,132.5906
Artocarpus kemando,Al_fre,410.0781281
Artocarpus kemando,Ca_fre,5723.242749
Artocarpus kemando,Mg_fre,1261.044505
Artocarpus kemando,K_fre,11059.37462
Artocarpus kemando,Fe_fre,277.5298815
Artocarpus kemando,Mn_fre,18.90044495
Artocarpus kemando,P_fre,745.5617222
Artocarpus kemando,C_sen,43.7
Artocarpus kemando,N_sen,0.713333333
Artocarpus kemando,C_fre,46.17666667
Artocarpus kemando,N_fre,1.763333333
Artocarpus kemando,SLA,133.311704
Artocarpus kemando,LDMC,389.2754143
Artocarpus kemando,LT,0.2034
Artocarpus kemando,dpyr_fre,37.15233333
Artocarpus kemando,dsmo_fre,17.88291667
Bhesa paniculata,Al_sen,1968.3352
Bhesa paniculata,Ca_sen,18468.134
