species,Al_sen,Ca_sen,Mg_sen,K_sen,Fe_sen,Mn_sen,P_sen,Si_sen,Al_fre,Ca_fre,Mg_fre,K_fre,Fe_fre,Mn_fre,P_fre,Si_fre,C_sen,N_sen,CNR_sen,C_fre,N_fre,CNR_fre,SLA,LDMC,LA,LT,SAV,FMC,DW_fre,DW_sen,Al_res,Ca_res,Mg_res,K_res,Fe_res,Mn_res,P_res,Si_res,N_res,Tpyr_sen,Tpyr_sd_sen,Tsmo_sen,Tsmo_sd_sen,rate_sen,rate_sd_sen,Tmax_sen,Tmax_sd_sen,Tcum_sen,Tcum_sd_sen,tpyr_sen,tpyr_sd_sen,tsmo_sen,tsmo_sd_sen,dpyr_sen,dpyr_sd_sen,dsmo_sen,dsmo_sd_sen,fla_PC1_sen,fla_PC2_sen,Tpyr_fre,Tpyr_sd_fre,Tsmo_fre,Tsmo_sd_fre,rate_fre,rate_sd_fre,Tmax_fre,Tmax_sd_fre,Tcum_fre,Tcum_sd_fre,tpyr_fre,tpyr_sd_fre,tsmo_fre,tsmo_sd_fre,dpyr_fre,dpyr_sd_fre,dsmo_fre,dsmo_sd_fre,fla_PC1_fre,fla_PC2_fre,decomp_k,decomp_coef,logk,logcoef,NPR_fre,NPR_sen
Alstonia pneumatophora,5.8182,16201.707,1821.6732,2079.0372,51.3961,47.8254,313.4534,2643.1039,NA,NA,NA,NA,NA,NA,NA,NA,48.12,0.81,59.40740741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3474,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.01179921,24.99446695,8.206799214,6.397100435,5.218517951,2.048921936,99.64679921,22.01807174,11406.35392,3980.527349,5.699,3.684002805,1.098571429,0.559357625,57.592,16.23532828,21.744,13.63363015,0.077073193,-0.297772613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.743676267,-0.296149464,-0.128616078,-0.351189253,NA,0.002584116
Archidendron clypearia,57.7544,4069.1543,840.1926,3178.3254,99.3479,116.7079,160.8003,3445.0227,29.99097824,2442.11595,1066.914948,6361.812204,48.21708901,52.05164308,621.3658613,680.8214809,51.29,1.686666667,30.40909091,49.57666667,2.413333333,20.54281768,146.0125983,429.5217284,12.64606667,0.147066667,13.22609473,1.587600873,0.086133333,0.0709,-0.58514657,-0.371553835,0.351777602,0.588762705,-0.696026699,-0.845613644,0.786982911,-3.165180424,0.424709859,49.977897,12.15549704,14.83047753,12.26816184,5.613409584,1.603883388,72.23123033,19.81482224,4394.129471,1796.326244,4.375,1.283201292,0.342,0.229499455,30.528,4.698822075,11.185,2.690977724,-0.209009364,0.073741401,22.68306251,9.466119434,6.241823205,4.122446016,1.012863468,0.598531618,35.16137164,8.188471169,4110.190554,1768.074245,17.245,2.550298688,1.297090909,0.600095402,37.15018182,6.237367134,15.265,2.571596391,-0.191809085,0.006759912,0.493790093,-0.705644765,-0.306457628,-1.222967959,0.003883917,0.010489201
Artocarpus kemando,74.9787,18005.1326,1475.2861,1951.474,105.286,42.5443,132.5906,20675.7617,410.0781281,5723.242749,1261.044505,11059.37462,277.5298815,18.90044495,745.5617222,13725.91691,43.7,0.713333333,61.26168224,46.17666667,1.763333333,26.18714556,133.311704,389.2754143,33.7804,0.2034,9.919320485,1.706338969,0.259933333,0.2774,0.804873713,-2.357365613,-0.24850509,0.81168857,0.595139547,-1.402225842,0.810209874,-0.60755053,0.568279589,11.04486363,7.205851772,4.615304046,3.12687555,3.152740017,1.894951292,50.49199972,23.38815695,7316.209284,3123.385781,4.062,1.770792666,2.146,0.76571245,44.276,11.49641413,11.487,6.898830899,0.075243003,0.171533836,8.21284313,4.770816102,6.344708084,3.138581782,1.21111768,0.369642914,30.25082965,7.976681819,4251.549781,1793.122086,7.590916667,3.795567809,3.711833333,1.257349726,37.15233333,6.145817444,17.88291667,4.850023101,-0.126079401,0.138433579,0.637670931,-0.44993291,-0.19540338,-0.597715026,0.002365107,0.005379969
Bhesa paniculata,1968.3352,18468.134,1202.3545,1612.4392,62.7013,117.0639,375.7942,2533.1762,54.10218822,11905.45682,1215.987184,7567.14868,29.43932039,27.41922032,658.0364433,788.4694612,45.16333333,1.731666667,26.08084697,43.80333333,1.59,27.54926625,82.11198853,363.2578955,109.7504667,0.255366667,7.847652508,1.902083734,1.345,1.5642,-41.31109115,-0.804043271,-0.149935636,0.752188716,-1.476958683,-3.965213009,0.335843964,-2.736375531,-0.266593252,20.74711541,15.55213812,3.398125142,0.335974131,4.296166314,1.771610719,65.35018431,24.04305922,6757.067323,2622.721751,5.781,2.130385724,2.066,0.902886728,53.146,10.17892834,24.556,20.21441741,0.159907615,0.056895728,21.31336788,15.04067444,4.101451375,2.670191693,1.313254767,0.810764543,39.0605901,14.1461673,5599.826513,2682.470109,27.17969231,13.43396513,9.316461538,2.760853238,50.37861538,9.861082222,41.48392308,9.482192947,0.049350504,-0.194645642,1.378783301,0.321201444,0.139496015,0.278541508,0.00241628,0.004608019
Calophyllum tetrapterum,53.5077,4278.3528,1022.8749,3656.8991,50.2627,40.4187,181.2045,134.9132,376.5733335,2829.383039,1230.605138,2460.335931,295.7624759,23.29136917,367.3079712,1121.052718,50.31,0.933333333,53.90357143,49.37,1.166666667,42.31714286,110.0317918,471.5223332,11.40842727,0.189569697,10.62105625,1.2676311,0.102590909,0.1254,0.826317773,-0.84830444,-0.015997071,-0.816800441,0.792273741,-1.121172462,0.396986155,0.852898512,0.022135578,51.43410861,7.697916971,10.22249113,4.918524664,5.382684081,1.82008686,74.66410861,29.07563895,5506.869596,2789.626337,6.282,1.030531686,0.807777778,0.242475657,41.46,19.35772599,14.629,19.2933883,-0.071743,-0.039416856,19.51765201,9.155361357,11.3806484,7.771511755,1.648776073,1.006411668,37.48431867,5.362971341,4754.146398,2390.482266,13.7122,3.960913048,3.6874,1.192033185,48.71733333,7.224839174,23.74106667,3.725756711,-0.1210695,-0.126745519,0.488760757,-0.715882159,-0.310903672,-1.258366195,0.003176263,0.005150718
Campnosperma auriculatum,37.9954,10804.7103,1492.3908,1415.4231,66.3558,77.4375,104.008,3618.8305,32.0872902,7403.381384,1098.560097,5078.045443,36.91609377,46.48611674,575.5357833,1471.697848,46.98666667,0.583333333,80.54857143,47.90333333,1.533333333,31.24130435,72.17887605,384.1138613,443.3254111,0.258207407,7.981909102,1.676567975,6.466666667,7.60875,-0.393255668,-0.717180088,-0.598422494,0.672038748,-1.114929956,-0.960021768,0.787368671,-1.893226449,0.552376317,15.13824911,10.14944372,5.134860678,5.973437656,1.724008594,0.698721396,38.47993174,10.00860193,3663.295505,1133.905726,4.2041,1.882393893,0.7026,0.285315498,94.1424,14.81131925,29.1518,7.133957991,0.219671717,0.414353161,5.708392103,4.008048407,1.252953617,1.42874551,0.74252554,0.273391165,41.97204219,15.54810959,4588.153596,1788.372009,16.95764706,8.911409323,6.873470588,2.706017164,133.9418235,23.86446745,78.46141176,17.46549568,0.3843267,0.088307755,NA,NA,NA,NA,0.002664184,0.005608543
Campnosperma squamatum,69.4272,14581.6957,1549.952,1790.6405,69.2662,110.1712,115.9122,4757.7671,46.66072195,7742.646356,1116.639728,6472.640603,63.88970822,25.80046276,544.5299478,2349.404499,46.336,0.562,82.44839858,46.17333333,1.383333333,33.37831325,81.67214184,397.1042311,75.6836,0.259622222,7.84022661,1.613496576,1.028066667,1.2029,-0.740950581,-1.203570016,-0.624102446,0.676305622,-0.268524047,-3.996303723,0.750933323,-1.369483177,0.524645379,24.68335754,17.14475037,2.481444396,2.313204598,4.349271106,1.528662641,66.28799526,27.89331949,6740.960748,4484.224885,5.4935,3.498087109,2.0955,0.887269466,57.696,11.3246389,16.655,3.792274002,0.146133622,0.070598617,8.724596774,10.9006593,9.842597692,8.289416309,1.394547699,0.888177725,35.99299519,9.882272379,4338.30649,1716.722563,7.333,3.054656009,9.0339,2.566826162,73.823,10.40175501,38.8634,7.668019405,0.048606291,0.003222844,0.655357412,-0.422574524,-0.183521784,-0.549175891,0.002540417,0.004848497
Diospyros maingayi,1.6021,7528.6799,1136.6674,3444.9915,27.8259,237.7095,117.566,551.7526,2.195803951,2044.998614,1499.450205,3505.144943,18.60538656,28.31666518,485.8163432,312.7268564,50.848,0.66,77.04242424,51.06333333,1.193333333,42.79050279,54.65320894,463.4019973,43.02633333,0.340266667,5.957047686,1.19889035,0.800733333,0.8624,0.214191182,-2.965031614,0.183563906,-0.058529616,-0.610761951,-8.041183271,0.739366365,-0.900203217,0.404333737,42.04600704,19.16423998,7.635026162,4.534799505,4.551812988,1.289109887,75.02378481,21.13715233,6198.416887,2399.630481,9.435,4.352167404,1.479,0.399122649,73.897,11.81432469,25.697,5.096622084,0.135738992,-0.102848312,15.27537805,9.990099417,10.07093301,4.077964266,0.915241348,0.477981185,38.31347329,8.403495425,3945.89788,1323.361238,22.14366667,7.115229388,7.2476,1.70558058,81.76513333,13.12460993,42.22866667,7.406933505,0.079212206,-0.089629565,0.705767175,-0.348469876,-0.151338544,-0.428431646,0.002456347,0.005613868
Gironniera nervosa,99.1534,6337.9959,876.6279,770.7902,173.6354,73.1417,240.5533,46240.279,91.01529654,5150.122518,1119.41464,3242.170298,115.6098415,43.34866267,575.3162065,28158.76248,40.126,1.662,24.14320096,43.20333333,2.393333333,18.05153203,137.027919,427.6650053,49.9386,0.240161111,8.567463681,1.566186506,0.375133333,0.4416,-0.282438747,-0.448697804,0.078134176,0.720138105,-0.768018784,-0.986244717,0.507792622,-0.933082058,0.182531101,46.65254086,16.93838557,16.91032166,14.48201426,5.429710425,3.634701653,60.29754086,17.21135103,8613.119598,1692.023524,5.708,1.724289226,0.877,0.488945578,21.523,4.420854744,6.406,1.263251536,-0.264857228,-0.134568573,20.86054305,2.259386832,6.577209722,1.413262276,1.906316689,0.789406351,27.92720972,5.2345869,3779.150446,1031.21624,16.5411,4.695659283,5.4295,2.132592593,32.6698,8.657471158,12.3775,2.992483927,-0.211387628,0.032817451,0.501128893,-0.690891939,-0.300050557,-1.174064352,0.004160031,0.006909072
Gluta wallichii,7.2715,14958.3965,1646.4306,1392.3855,53.2607,39.5807,104.3644,9884.8884,36.80257201,7667.192307,1180.903522,4838.987824,36.56610448,12.76075189,503.7344421,7604.695056,44.6675,0.6425,69.52140078,45.72666667,1.54,29.69264069,97.61204165,390.4244529,106.8790111,0.228045833,8.824517329,1.694610059,1.12715,0.9254,0.837784027,-0.601756387,-0.144660749,0.763760376,-0.195847924,-1.546566289,0.829902271,-0.06718017,0.657468757,29.93594398,20.19802652,11.30297301,5.919386909,5.855734333,1.965572092,88.13927731,20.274479,7308.276297,1760.171778,3.476,2.177333742,0.677142857,0.404792716,39.489,13.55898919,13.363,3.219734461,-0.082085179,-0.07353814,9.481947918,5.016382419,6.711512085,4.264364807,1.051983765,0.563178624,33.37268827,8.705053604,4179.665784,1895.392442,13.4801,5.212799897,6.7622,2.136046285,66.8208,14.40217218,36.9242,8.577074142,0.0615508,0.028913955,0.693893852,-0.365436282,-0.158706961,-0.454817574,0.003057166,0.006156314
