Name.auth,Dispersal,Pollination,Fruit type by Corlett,Fruit Colour,Fruit type,Fruit Shape,Pericarp,Dehiscence,Fruit Description,Aril,Seed Shape,Seed Colour,Fruit Length (cm) min,Fruit Width (cm) min,No. Seed min,Seed Length (mm) min,Seed width (mm) min,Fruit Length (cm) max,Fruit Width (cm) max,No. Seed max,Seed Length (mm) max,Seed width (mm) max,Fruit Length (cm) mean,Fruit Width (cm) mean,No. Seed mean,Seed Length (mm) mean,Seed width (mm) mean
Connarus grandis Jack,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,NA,pod-like,obovoid,"smooth, glabrous, woody, 2mm",NA,NA,"fleshy, yellow",NA,shining black,5,3.5,NA,NA,NA,7,4,NA,NA,NA,NA,NA,1,NA,NA
Callicarpa longifolia Lamk.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,white,drupe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.127,NA,NA,NA
Callicarpa maingayi King & Gamble,"ingestion (berries, drupes or aggregate fruits)",insect,simple,green turn red,drupe,globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melastoma malabathricum L.,NA,NA,dehiscent,NA,NA,globular,NA,y,"baccate, pulpy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.635,NA,NA,NA
Xylopia malayana Hook.f. & Thoms.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,pink,carpel?,NA,NA,NA,brown pubescent,soft thin greyish-white,NA,NA,NA,NA,2,NA,NA,NA,NA,7,NA,NA,0.254,NA,NA,NA,NA
Schefflera elliptica (Blume) Harms,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,NA,oblong,NA,NA,fleshy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.381,NA,NA,NA,NA
Schefflera oxyphylla (Miq.) Viguier,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,NA,broad ovoid,NA,NA,fleshy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.381,NA,NA,NA,NA
Trema cannabina Lour.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,deep-orange/red,drupe,ovoid,NA,NA,fleshy exocarp,NA,NA,NA,0.2,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,0.2,NA,NA,NA
Trema tomentosa (Roxb.) H. Hara,"ingestion (berries, drupes or aggregate fruits)",insect,simple,black,drupe,ovoid,NA,NA,"fleshy exocarp, glabrous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.2,NA,NA,NA
Tetracera akara (Burm. f.) Merr.,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,NA,capsule,globular,NA,NA,NA,"6mm, fimbriate",NA,glossy dark brown to black,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,1,NA,3,2
Tetracera arborescens Jack,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,NA,capsule,ovoid,NA,NA,NA,"3-5mm, laciniate",NA,glossy dark brown to black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.4,1,2.5,1.5
Cheilosa montana Blume,others,insect,dehiscent,dull grey-green,capsule,subglobose,"very thick woody, 0.635 to 0.762cm thick",y,thinly velvety,NA,NA,"red, ochre and black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,3.7,NA,2.54,NA
Baratranthus axanthus (Korth.) Miq.,"ingestion (berries, drupes or aggregate fruits)",bird,simple,brown,drupaceous,elliptic,NA,NA,puberulous,NA,NA,NA,0.3302,NA,NA,NA,NA,0.508,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diplectria stipularis (Blume) Kuntze,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,capsule,"ovoid, globular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.381,NA,NA,NA,NA
Dissochaeta celebica Blume,"ingestion (berries, drupes or aggregate fruits)",insect,simple,purple,berry,subglobular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.381,NA,NA,NA,NA
Dissochaeta gracilis (Jack) Blume,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,berry,subglobular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.381,NA,NA,NA,NA
Pogonanthera pulverulenta (Jack) Blume,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,berry,pea-shaped,NA,NA,small,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.381,NA,NA,NA,NA
Embelia canescens Jack,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,obovoid,NA,NA,NA,NA,ovoid,black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.381,NA,1,NA,NA
Embelia coriacea Wall. ex A.DC.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,black,drupe,globose,NA,NA,NA,NA,ovoid,black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1905,1,NA,NA
