Plot,Tree_ID,Species1,n,Area_cm2,SLA,Date.Dried
A2,A2T04,Syzygium glaucum,3,20.2,73.57073643410853,2014-05-29T00:00:00Z
A27,A27T12,Litsea elliptica,3,55.4,129.90497700004744,2014-06-02T00:00:00Z
A27,A27T24,Rhodamnia cinerea,3,39.2,111.1810380381333,2014-06-05T00:00:00Z
A27,A27T39,Knema curtisii,3,38.25,122.57592011883149,2014-06-05T00:00:00Z
A27,A27T49,Clerodendrum laevifolium,3,28.35,147.54477101845526,2014-06-02T00:00:00Z
A27,A27T52,Santiria rubiginosa,3,155.9,86.36470823574763,2014-06-05T00:00:00Z
A27,A27T55,Xylopia ferruginea,3,69.7,144.9238567234716,2014-06-05T00:00:00Z
A27,A27T63,Macaranga bancana,3,148.45,133.20237755974432,2014-06-02T00:00:00Z
A27,A27T66,Porterandia anisophylla,3,202.55,110.81111592644314,2014-06-02T00:00:00Z
A27,A27T76,Strombosia ceylanica,3,50.5,106.65515918680475,2014-06-05T00:00:00Z
A27,A27T77,Canarium pilosum,1,779.4,140.0287459575997,2014-06-05T00:00:00Z
A58,A58T45,Baccaurea bracteata,3,109.25,115.98941647597255,2014-06-06T00:00:00Z
A58,A58T49,Calophyllum wallichianum var. incrassatum,3,168.3,66.49242198584464,2014-06-06T00:00:00Z
A58,A58T50,Syzygium pycnanthum,3,90.5,110.71801226033651,2014-06-06T00:00:00Z
A63,A63T103,Macaranga bancana,3,651.6,261.510840933881,2014-07-17T00:00:00Z
A63,A63T107,Gironniera nervosa,3,82.4,90.24108183949107,2014-07-17T00:00:00Z
A63,A63T45,Timonius wallichianus,3,44.95,141.55453679447487,2014-07-17T00:00:00Z
A63,A63T59,Syzygium filiforme,3,10,96.68601385508332,2014-07-17T00:00:00Z
A63,A63T93,Archidendron clypearia,3,850.3499999999999,151.6456201500011,2014-07-17T00:00:00Z
A63,A63T95,Elaeocarpus mastersii,3,14.149999999999999,97.08824917413874,2014-07-17T00:00:00Z
B10,B10T03,Dillenia suffruticosa,3,570.05,95.57504521491995,2014-08-01T00:00:00Z
